n,m,k,apwelfare,aprevenue,apef,apefloss,apmc,apmcloss,aptime,uswelfare,usrevenue,usef,usefloss,usmc,usmcloss,ustime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,1,1,1,0,0,0,0,5.27326299999999993e-05,0.860987790287603638,0.860987790287603638,0,0,0.5,0.5,5.10537599999999996e-05,1,1,0,0,0,0,1.70230499999999996e-05,0.862650258346438825,0.862650258346438825,0.119999999999999968,0.137349741653561175,0,0,1.3733849999999999e-05,1,1,0,0,0,0,0.00713107152999999973,0.862650258346438825,0.862650258346438825,0.119999999999999968,0.137349741653561175,0,0,0.00703177748000000016
2,2,2,1,1,0,0,0,0,3.12500900000000002e-05,1,1,0,0,0,0,5.69876600000000005e-05,1,1,0,0,0,0,1.43433700000000002e-05,0.73832454718606999,0.73832454718606999,0.270000000000000018,0.26167545281393001,0,0,1.01908599999999999e-05,1,1,0,0,0,0,0.0067210683800000004,0.73832454718606999,0.73832454718606999,0.270000000000000018,0.26167545281393001,0,0,0.00664075737999999995
2,3,1,1,1,0,0,0,0,3.19389799999999989e-05,0.787316498446043345,0.787316498446043345,0,0,0.5,0.5,3.08941400000000023e-05,1,1,0,0,0,0,7.48835999999999991e-06,0.806557709057255101,0.806557709057255101,0.179999999999999993,0.229692783759556679,0,0,5.11270000000000019e-06,1,1,0,0,0,0,0.00705835108999999968,0.806557709057255101,0.806557709057255101,0.179999999999999993,0.229692783759556679,0,0,0.00697631716000000034
2,3,2,1,1,0,0,0,0,3.22893399999999987e-05,1,1,0,0,0,0,3.24580100000000006e-05,1,1,0,0,0,0,9.00281000000000029e-06,0.597306942322609169,0.597306942322609169,0.356666666666666632,0.382462160127316209,0,0,5.25491999999999999e-06,1,1,0,0,0,0,0.00659552054000000013,0.597306942322609169,0.597306942322609169,0.356666666666666632,0.382462160127316209,0,0,0.00633710955999999999
2,4,1,1,1,0,0,0,0,2.05840099999999988e-05,0.745963868882663639,0.745963868882663639,0,0,0.5,0.5,4.05504900000000035e-05,1,1,0,0,0,0,9.84687000000000013e-06,0.691847643241241483,0.691847643241241483,0.285000000000000031,0.386913497051959876,0,0,6.60787000000000031e-06,1,1,0,0,0,0,0.00701144855000000039,0.691847643241241483,0.691847643241241483,0.285000000000000031,0.386913497051959876,0,0,0.00698318187999999972
2,4,2,1,1,0,0,0,0,1.96415300000000003e-05,1,1,0,0,0,0,4.01277600000000029e-05,1,1,0,0,0,0,9.24316000000000045e-06,0.545115806297036487,0.545115806297036487,0.387500000000000011,0.424217244468444887,0,0,6.11290000000000038e-06,1,1,0,0,0,0,0.00695982582000000041,0.545115806297036487,0.545115806297036487,0.387500000000000011,0.424217244468444887,0,0,0.00690616178000000042
2,5,1,1,1,0,0,0,0,1.97554299999999993e-05,0.732184647361561525,0.732184647361561525,0,0,0.5,0.5,4.8475330000000002e-05,1,1,0,0,0,0,8.99913999999999936e-06,0.654256109648318485,0.654256109648318485,0.268000000000000016,0.419636327609959003,0,0,6.07290999999999976e-06,1,1,0,0,0,0,0.00718030336000000016,0.654256109648318485,0.654256109648318485,0.268000000000000016,0.419636327609959003,0,0,0.00687488431999999997
2,5,2,1,1,0,0,0,0,1.60916500000000003e-05,1,1,0,0,0,0,4.74704999999999989e-05,1,1,0,0,0,0,7.96311000000000074e-06,0.518043300326896938,0.518043300326896938,0.39800000000000002,0.434164448019011329,0,0,5.84540999999999982e-06,1,1,0,0,0,0,0.00698059196999999999,0.518043300326896938,0.518043300326896938,0.39800000000000002,0.434164448019011329,0,0,0.00669078979000000025
2,6,1,1,1,0,0,0,0,0.000160507849999999992,0.735012998424047659,0.735012998424047659,0,0,0.5,0.5,0.00034887175000000004,1,1,0,0,0,0,4.51514800000000016e-05,0.543514213559769255,0.543514213559769255,0.326666666666666661,0.516167480473104567,0,0,3.93625900000000008e-05,1,1,0,0,0,0,0.00858088509000000041,0.543514213559769255,0.543514213559769255,0.326666666666666661,0.516167480473104567,0,0,0.0075030177300000004
2,6,2,1,1,0,0,0,0,4.22368000000000019e-05,1,1,0,0,0,0,8.19440500000000036e-05,1,1,0,0,0,0,1.80210599999999999e-05,0.461472658576586814,0.461472658576586814,0.388333333333333364,0.494959235546056087,0,0,1.35886999999999992e-05,1,1,0,0,0,0,0.00721297234000000016,0.461472658576586814,0.461472658576586814,0.388333333333333364,0.494959235546056087,0,0,0.00700502543999999977
2,7,1,1,1,0,0,0,0,3.89628699999999972e-05,0.736406762974212259,0.736406762974212259,0,0,0.5,0.5,8.44542000000000019e-05,1,1,0,0,0,0,1.64647300000000005e-05,0.577424470564058323,0.577424470564058323,0.352857142857142814,0.510075514649344197,0,0,1.17769000000000007e-05,1,1,0,0,0,0,0.00733582962000000043,0.577424470564058323,0.577424470564058323,0.352857142857142814,0.510075514649344197,0,0,0.00729031200000000018
2,7,2,1,1,0,0,0,0,4.09540300000000034e-05,1,1,0,0,0,0,0.000101079450000000003,1,1,0,0,0,0,1.12639299999999994e-05,0.44182633392863524,0.44182633392863524,0.44714285714285712,0.499526659418295771,0,0,9.74766999999999946e-06,1,1,0,0,0,0,0.00745514976999999985,0.44182633392863524,0.44182633392863524,0.44714285714285712,0.499526659418295771,0,0,0.00714138826000000008
2,8,1,1,1,0,0,0,0,2.90371700000000017e-05,0.767423719752590716,0.767423719752590716,0,0,0.5,0.5,9.55268499999999983e-05,1,1,0,0,0,0,9.21834000000000058e-06,0.478910365082705236,0.478910365082705236,0.369999999999999996,0.591868505904889819,0,0,8.6076099999999994e-06,1,1,0,0,0,0,0.00724131606000000001,0.478910365082705236,0.478910365082705236,0.369999999999999996,0.591868505904889819,0,0,0.00717055830000000016
2,8,2,1,1,0,0,0,0,2.24808e-05,1,1,0,0,0,0,0.000100188719999999993,1,1,0,0,0,0,1.00943200000000006e-05,0.32919813008142268,0.32919813008142268,0.49499999999999994,0.604382339705382132,0,0,7.3393500000000003e-06,1,1,0,0,0,0,0.00735474228999999976,0.32919813008142268,0.32919813008142268,0.49499999999999994,0.604382339705382132,0,0,0.00714987157999999977
