m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
16,0.116666666666666669,0.037499793842225064,0.0166666666666666699,0.0250035977923092519,0.0291642113550917362
17,0.0583333333333333273,0.00833333333333333495,0.0374988721887864404,0.00417900458571340838,0.0124969923530903297
18,0.0749999999999999972,0.00416596974069744636,0.0166642842277226998,0,0.00416666666666666661
19,0.0250000000000000049,0.0166664930627890458,0.0166657574039329806,0,0.00416666666666666661
20,0.0583333333333333343,0.0208329745657407119,0.00833316252374853399,0,0.00833058949183322281
21,0.0583333333333333273,0.00833333333333333495,0,0,0
22,0.0624999999999999931,0.00416666666666666661,0.00832981622332652077,0,0
23,0.0375000000000000056,0,0,0.00416666666666666748,0.00416666666666666748
24,0.0291666666666666602,0,0,0,0.00416666666666666834
25,0.0500000000000000028,0,0,0,0
26,0.0416666666666666713,0,0,0.00416666666666666748,0.00416666666666666748
27,0.0166666666666666664,0,0.00416666666666666661,0,0
28,0.012499999999999999,0,0.00833333333333333495,0,0
29,0.0250000000000000049,0,0,0,0
30,0.0291666666666666637,0,0.00416666666666666661,0,0
31,0.0125000000000000024,0,0,0,0
32,0.00416666666666666834,0,0,0,0
33,0.0291666666666666637,0,0,0,0
34,0.00416666666666666748,0,0,0,0
35,0.00833333333333333495,0,0,0,0
36,0.00833333333333333495,0,0,0,0
37,0.00833333333333333495,0,0,0,0
38,0.0166666666666666664,0,0,0,0
39,0.00416666666666666661,0,0,0,0
40,0.00416666666666666748,0,0,0,0
41,0.00833333333333333322,0,0,0,0
42,0.0125000000000000007,0,0,0,0
43,0.00833333333333333322,0,0,0,0
44,0,0,0,0,0
45,0.00416666666666666661,0,0,0,0
46,0.00833333333333333495,0,0,0,0
47,0,0,0,0,0
48,0.00416666666666666661,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0.00416666666666666748,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
