m,spef,gwef,geef,owef,oeef
2,0,0.0500000000000000028,0,0,0
3,0,0.0111111111111111115,0,0,0
4,0,0.116666666666666655,0,0,0
5,0,0.126666666666666677,0,0,0
6,0,0.111111111111111105,0.00555555555555555663,0,0
7,0.00476190476190476233,0.152380952380952367,0.00476190476190476233,0,0
8,0.00416666666666666661,0.158333333333333326,0.00833333333333333495,0,0
9,0.0148148148148148171,0.192592592592592593,0.0222222222222222196,0.018518518518518521,0.0148148148148148154
10,0.0166666666666666699,0.256666666666666654,0.0266666666666666649,0.0299999999999999954,0.00999999999999999847
11,0.0272727272727272714,0.221212121212121221,0.0515151515151515138,0.0424242424242424268,0.0242424242424242424
12,0.0527777777777777776,0.327777777777777779,0.0444444444444444392,0.0749999999999999972,0.0222222222222222196
13,0.0256410256410256471,0.302564102564102599,0.0384615384615384567,0.0358974358974359017,0.0153846153846153855
14,0.0357142857142857192,0.32857142857142857,0.0666666666666666657,0.0904761904761904739,0.0357142857142857123
15,0.0511111111111111072,0.333333333333333315,0.0688888888888888884,0.124444444444444455,0.0555555555555555525
