m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.754166666666666652,0.193882079192463225,0.221327065846306931,0.360644959425328204,0.360644959425328204
3,0.650000000000000022,0.283565486014609736,0.291119924175017086,0.320695766594025267,0.344063994926809225
4,0.558333333333333348,0.281487951079907317,0.226295552756113572,0.300858357668998044,0.300858357668998044
5,0.474999999999999978,0.204704149305426769,0.18338244022448616,0.297521394984583687,0.292769429509033507
6,0.424999999999999989,0.172349775492531471,0.193508527699638083,0.263344001629860602,0.263344001629860602
7,0.341666666666666674,0.117032174471511555,0.155127893553706847,0.181369437330178102,0.18613090337252744
8,0.316666666666666652,0.114404375411486403,0.089310490779493254,0.185188566588653764,0.184598116623053365
9,0.262500000000000011,0.0945087771583174585,0.104764651777736639,0.136639219086944874,0.124165405371502613
10,0.216666666666666674,0.0813377545111706179,0.0756018852312126816,0.0898487927758102184,0.106522671019675774
11,0.195833333333333331,0.0829843276333162294,0.0704673400723396376,0.0512219527001501057,0.0678886954160268785
12,0.179166666666666669,0.0405020794533647796,0.0476162167863941749,0.0440638733726354676,0.0434546891631519411
13,0.133333333333333331,0.053032851331035899,0.0256003141514447412,0.0291427274619189026,0.0297379655571569958
14,0.108333333333333337,0.0333363432762722872,0.0541523364181573305,0.0333325294591622356,0.0374985605064450458
15,0.100000000000000006,0.012500526521668635,0.0339331853901061256,0.0208448626868225177,0.0208328993281599942
