m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.999456277507743129,0.973731975420430662,0.999902241883822263,0.999905408188514033,0.999905408188514033
3,0.994189691012811294,0.991797266376535758,0.999889141261451786,0.999941848534649846,0.999946147391154061
4,0.983424373007955821,0.919959305232499358,0.999634778769526999,0.999738298061123021,0.999738298061123021
5,0.994230119208600271,0.941455561803891672,0.99964667823940867,0.999787843274270949,0.999789506780276227
6,0.973787768098840045,0.930431657361416753,0.983528261173504115,0.999743170605701503,0.999743170605701503
7,0.973527055308988087,0.926194410435313142,0.983288291906461942,0.999679850029239758,0.999679850029239758
8,0.939122610015222348,0.925553102854893006,0.985264655946067269,0.999604750316161361,0.999610967458816946
9,0.943389023342902311,0.90052257821737991,0.985397175079744558,0.999699198184351601,0.993284836493744105
10,0.905308121892206774,0.850888466409417621,0.934896288525126962,0.999567857029898033,0.980267305701188474
11,0.887218381460157191,0.864203051366483455,0.89875935119720296,0.999516240820285007,0.977468593251788032
12,0.855917495647096849,0.882478975452933856,0.927501050732902677,0.999530183444694464,0.97330354471074787
13,0.852606163886392432,0.816048833891746206,0.928958527079431606,0.999480552704793301,0.978616726198348497
14,0.899158724366541429,0.853569494839236054,0.881420748750174288,0.999508811126583518,0.976125462108012765
15,0.883566714179056634,0.863453127970477907,0.873899626975340404,0.999528101784420087,0.94984581301004245
