m,spwinners,gwwinners,gewinners,owwinners,oewinners
2,1,0.949999999999999956,1,1,1
3,0.988888888888888928,0.977777777777777746,1,1,1
4,0.983333333333333282,0.849999999999999978,1,1,1
5,0.99333333333333329,0.853333333333333388,1,1,1
6,0.97222222222222221,0.83333333333333337,0.988888888888888928,1,1
7,0.980952380952380909,0.823809523809523769,0.985714285714285765,1,1
8,0.936904761904761907,0.803571428571428603,0.995833333333333348,1,1
9,0.949537037037037068,0.749074074074074003,0.992129629629629584,0.974999999999999978,1
10,0.918796296296296333,0.676111111111111107,0.958888888888888902,0.984259259259259278,0.985185185185185164
11,0.916902356902356885,0.716228956228956215,0.952727272727272756,0.95962962962962961,0.996666666666666701
12,0.903838383838383885,0.641414141414141437,0.967828282828282815,0.937878787878787867,0.99696969696969695
13,0.888772338772338744,0.627331002331002363,0.965773115773115753,0.977272727272727293,0.997222222222222232
14,0.917818292818292858,0.618503718503718547,0.923412698412698463,0.933469308469308423,0.983935508935508962
15,0.911904761904761885,0.625445665445665488,0.924786324786324831,0.88815628815628811,0.978021978021977989
