n,m,k,apwelfare,aprevenue,apef,apefloss,apmc,apmcloss,aptime,uswelfare,usrevenue,usef,usefloss,usmc,usmcloss,ustime,gwwelfare,gwrevenue,gwef,gwefloss,gwmc,gwmcloss,gwtime,gewelfare,gerevenue,geef,geefloss,gemc,gemcloss,getime,owwelfare,owrevenue,owef,owefloss,owmc,owmcloss,owtime,oewelfare,oerevenue,oeef,oeefloss,oemc,oemcloss,oetime
2,2,1,1,1,0,0,0,0,0.000116725366666666665,0.83566904464904157,0.83566904464904157,0,0,0.5,0.5,0.000133870899999999999,1,1,0,0,0,0,3.4593333333333333e-05,0.903391944443171391,0.903391944443171391,0.116666666666666641,0.0966080555568285815,0,0,4.23570333333333346e-05,1,1,0,0,0,0,0.00674247383333333346,0.903391944443171391,0.903391944443171391,0.116666666666666641,0.0966080555568285815,0,0,0.00643649040000000058
2,2,2,1,1,0,0,0,0,0.000104656799999999997,1,1,0,0,0,0,7.12939333333333319e-05,1,1,0,0,0,0,2.54768333333333332e-05,0.777618590261268672,0.777618590261268672,0.25,0.222381409738731384,0,0,2.69039000000000017e-05,1,1,0,0,0,0,0.00592193526666666675,0.777618590261268672,0.777618590261268672,0.25,0.222381409738731384,0,0,0.00485518570000000038
2,3,1,1,1,0,0,0,0,0.000102946966666666662,0.746231114742374024,0.746231114742374024,0,0,0.5,0.5,0.000107227866666666664,1,1,0,0,0,0,2.90102000000000022e-05,0.753028276375163896,0.753028276375163896,0.188888888888888884,0.301123229477301746,0,0,2.62997666666666685e-05,1,1,0,0,0,0,0.00728345016666666605,0.753028276375163896,0.753028276375163896,0.188888888888888884,0.301123229477301746,0,0,0.00428460986666666637
2,3,2,1,1,0,0,0,0,6.90490333333333359e-05,1,1,0,0,0,0,9.18503666666666707e-05,1,1,0,0,0,0,1.81561000000000005e-05,0.551948922916445706,0.551948922916445706,0.38888888888888884,0.431458739938795466,0,0,1.80051333333333349e-05,1,1,0,0,0,0,0.0152547442000000016,0.551948922916445706,0.551948922916445706,0.38888888888888884,0.431458739938795466,0,0,0.00317956880000000008
2,4,1,1,1,0,0,0,0,5.61073333333333307e-05,0.755155168434512025,0.755155168434512025,0,0,0.5,0.5,0.000116718566666666664,1,1,0,0,0,0,1.93231000000000014e-05,0.729512932868686459,0.729512932868686459,0.258333333333333359,0.326321219946136498,0,0,1.76514666666666652e-05,1,1,0,0,0,0,0.0132833133666666672,0.729512932868686459,0.729512932868686459,0.258333333333333359,0.326321219946136498,0,0,0.0124093115333333334
2,4,2,1,1,0,0,0,0,5.01929999999999987e-05,1,1,0,0,0,0,0.000107610300000000002,1,1,0,0,0,0,2.03591999999999998e-05,0.487889382772403013,0.487889382772403013,0.366666666666666641,0.487775943802003342,0,0,1.87846666666666665e-05,1,1,0,0,0,0,0.0280950649000000011,0.487889382772403013,0.487889382772403013,0.366666666666666641,0.487775943802003342,0,0,0.0260152576999999989
2,5,1,1,1,0,0,0,0,5.23744333333333312e-05,0.736713704140428471,0.736713704140428471,0,0,0.5,0.5,6.0015533333333335e-05,1,1,0,0,0,0,2.20660666666666653e-05,0.719549091978624156,0.719549091978624156,0.280000000000000027,0.336562730414549927,0,0,2.00650999999999987e-05,1,1,0,0,0,0,0.0168930839999999992,0.719549091978624156,0.719549091978624156,0.280000000000000027,0.336562730414549927,0,0,0.0144635144666666673
2,5,2,1,1,0,0,0,0,5.60173999999999967e-05,1,1,0,0,0,0,6.61951666666666592e-05,1,1,0,0,0,0,2.48592666666666676e-05,0.474252204006687272,0.474252204006687272,0.426666666666666694,0.466354130656629506,0,0,2.18246000000000011e-05,1,1,0,0,0,0,0.0168076123333333327,0.474252204006687272,0.474252204006687272,0.426666666666666694,0.466354130656629506,0,0,0.0140329439333333333
2,6,1,1,1,0,0,0,0,5.69243333333333332e-05,0.837806992552888929,0.837806992552888929,0,0,0.5,0.5,7.70295999999999985e-05,1,1,0,0,0,0,1.43623999999999999e-05,0.515762169702342455,0.515762169702342455,0.349999999999999978,0.552468012145731824,0,0,9.63840000000000076e-06,1,1,0,0,0,0,0.0058672867333333335,0.515762169702342455,0.515762169702342455,0.349999999999999978,0.552468012145731824,0,0,0.0253194355666666697
2,6,2,1,1,0,0,0,0,5.49217999999999999e-05,1,1,0,0,0,0,7.97210999999999981e-05,1,1,0,0,0,0,1.43781333333333339e-05,0.422365124033793227,0.422365124033793227,0.461111111111111083,0.510939972544192211,0,0,9.82479999999999951e-06,1,1,0,0,0,0,0.00474226753333333376,0.422365124033793227,0.422365124033793227,0.461111111111111083,0.510939972544192211,0,0,0.00352136019999999992
