m,aprevenue,usrevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,1,1,1,0.780306498699383622,1,0.795245641061372965
3,0.983172086162546477,0.983874617613180957,0.9982816681506399,0.720048718555923228,1,0.715305646615849278
4,0.976532317222522317,0.911954100659508549,0.991894665564501565,0.694679555232955104,1,0.733893892140058401
5,0.962019497071965435,0.898335303665935392,0.985707447384066238,0.662986085409902004,1,0.710760794813259378
6,0.960146922226932986,0.877379808532240624,0.982235371231264698,0.667819383912383047,1,0.704670585645348013
7,0.962613249495717582,0.869248730633026212,0.982717415449334553,0.633649154653684765,1,0.692176980000067776
8,0.960259149048865779,0.78391052593804289,0.978142067549288119,0.676635216138628648,1,0.718194849095082577
9,0.957914957203417683,0.777821403106281895,0.980049475004623583,0.65785749652868597,1.0002815363723756,0.689829592043421536
10,0.963655845209073769,0.767321316133924181,0.974407559151106994,0.654817999953097085,0.999954489553280368,0.685112954576795219
11,0.962795265879237916,0.762394222542220446,0.977972855204217839,0.636868028962917054,1.00076651108997638,0.665313626225187527
12,0.959265804407092859,0.754811434082143684,0.97915728932139301,0.643084360113488018,0.999556700153380495,0.653879355697962517
13,0.964206831484873517,0.749836254216078801,0.97913735494657872,0.638481320036465072,1.00087995623152026,0.644046157653177742
14,0.959558085342095524,0.745511668250167459,0.975449286914402913,0.624503162302812775,0.999736878707927157,0.644017791703508258
15,0.967031358459389478,0.745077000675073653,0.980895546643080762,0.639078250279345284,0.999757305057489831,0.654174091136265234
16,0.96816356425875838,0.745342799138627554,0.983186190151433825,0.638968162175683529,1.00008368772752831,0.647997057298785983
17,0.968530692674873128,0.73984059316727524,0.981466283766339265,0.627502733935302537,0.999826559952475935,0.631524871383502773
18,0.967407354174653733,0.741024246524282559,0.983121798434397509,0.628719353488936039,1.00193043300006512,0.629895214810215487
19,0.966008975434244799,0.735199085238686934,0.981421157431658364,0.619801149518595662,0.999051843858541622,0.623528792354168582
20,0.972661356442233282,0.736988501988927847,0.985252944024316846,0.609121942866351795,1.00148091108682591,0.612728664637327336
