m,aptime,ustime,gwtime,getime,owtime,oetime
2,1.37800150000000013e-05,2.47160225000000001e-05,7.91553499999999976e-06,5.44243749999999985e-06,0.0489856730849999936,0.0667265208975000024
3,1.57165079999999996e-05,4.09429119999999967e-05,9.27738599999999866e-06,6.35846400000000089e-06,0.0722260086299999909,0.0581866062779999998
4,1.69068216666666658e-05,6.11168566666666702e-05,1.0201271666666667e-05,7.45873333333333282e-06,0.099360086818333318,0.058221010923333337
5,1.761132e-05,8.55403983333333294e-05,1.12845699999999999e-05,8.03526500000000005e-06,0.120693989888333311,0.0659278852233333296
6,1.84162516666666674e-05,0.000120016741666666651,1.18660949999999994e-05,8.53483166666666606e-06,0.137203149451666673,0.0707487237716666745
7,1.97618183333333335e-05,0.000158753303333333335,1.31400850000000004e-05,1.01906633333333341e-05,0.152304731706666668,0.0794367125150000075
8,2.18697114285714291e-05,0.00022458889285714286,1.47033357142857144e-05,1.12771585714285698e-05,0.142841079205714289,0.0691431030342857106
9,2.22609128571428531e-05,0.000252104619999999973,1.49568528571428575e-05,1.16803328571428562e-05,0.157172084631428566,0.0756312694057142965
10,2.37609214285714296e-05,0.000323795140000000023,1.64374628571428606e-05,1.26548271428571414e-05,0.172343070342857146,0.0752807028328571354
11,2.41577985714285709e-05,0.000376544012857142846,1.67264271428571415e-05,1.31870857142857118e-05,0.191410876189999996,0.0857946517814285603
12,2.56095214285714241e-05,0.0004295985271428572,1.79510342857142837e-05,1.3810524285714286e-05,0.203149415138571404,0.080257659597142858
13,2.74246400000000045e-05,0.000509772391428571438,2.01943728571428558e-05,1.60317557142857115e-05,0.218591504448571394,0.0938225207385714327
14,2.80630742857142873e-05,0.000594786375714285781,2.75524814285714262e-05,1.63769085714285696e-05,0.239079425857142841,0.0912671717171428531
15,2.93448085714285679e-05,0.000674210580000000025,2.21552471428571408e-05,1.72445357142857165e-05,0.257707451199999993,0.0952309488185714287
16,3.01912757142857117e-05,0.000806655758571428526,2.28486600000000009e-05,1.79557671428571428e-05,0.27708800111428572,0.0967839972128571452
17,3.08004299999999927e-05,0.000843366679999999901,2.36575042857142888e-05,1.85071728571428594e-05,0.294825888168571415,0.102105808661428585
18,3.16634842857142917e-05,0.00095947999428571437,2.47704385714285719e-05,1.97961728571428601e-05,0.300133911191428571,0.100267033244285722
19,3.29039942857142816e-05,0.00105389980285714282,2.5542687142857141e-05,2.02631300000000047e-05,0.308222472041428552,0.10720421793714284
20,3.2954621428571426e-05,0.00113675997142857125,2.60640028571428601e-05,2.7784001428571427e-05,0.317475225882857148,0.116659399287142876
