m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
21,0.814116181909790404,0.853104031521438544,0.783210673845405547,0.987671422020932721,0.855964040740211152
22,0.766605224975316912,0.838844660724992308,0.768387903572317787,0.984846697554805806,0.841458440868766977
23,0.777405637406951455,0.849664517326510937,0.74955020915934123,0.972629360879745164,0.82683931541654021
24,0.78657603657009123,0.869560278246732765,0.734106836745624158,0.96548229064091895,0.806987405518053591
25,0.77103722609303027,0.836687039145299516,0.728573277724985258,0.985427986758235841,0.800531954435397708
26,0.779859737218551952,0.848470835790899436,0.73228986945297514,0.98526165476543881,0.804464248628213863
27,0.788804766606079566,0.846604581398162415,0.749788525768926517,0.974478054045823439,0.826058717921412611
28,0.804563914773059552,0.840652889466481423,0.721812757958180118,0.991900127726097924,0.812676751024078992
29,0.788579537376988049,0.848521943157834357,0.707746040506416874,0.981154645774115597,0.783369204209322989
30,0.779824863536584423,0.824884774085455574,0.713687687822573191,0.988384943577105712,0.78816790033865225
31,0.769487781454134989,0.829415996372028008,0.730822193055561953,0.988937512061445645,0.799528277067845017
32,0.763714598932390465,0.829133112024148633,0.696399765503314616,0.994865333963529497,0.792208846698126079
33,0.766915652214194998,0.830883733088267129,0.703843940427598014,0.986164244822642311,0.787942151811488745
34,0.775096454945442326,0.812525236152042529,0.717627740480523024,0.987188641721668425,0.790413460547411906
35,0.790275987904004884,0.828468328007458288,0.697611469512227633,0.982158556694989415,0.782090439465354947
36,0.744433989379846062,0.819803528282419425,0.69212548656318984,0.990894433499242111,0.785768846579420477
37,0.763997779765037799,0.839428137612344583,0.714948684843825233,0.986422733626074244,0.801443549536808963
38,0.747746492346563985,0.799114693598993009,0.695004612859710269,0.987337449596028649,0.7537146220779668
39,0.773769089438025692,0.81402496622492404,0.720588827536044807,0.985291012911740482,0.790803137308251469
40,0.755598184614984514,0.817177214308397071,0.697632106771042482,0.995603862442004717,0.783827962332827255
41,0.782598601848790931,0.829226388525604596,0.709197376559414283,0.988491483926551284,0.779772379817115779
42,0.76970091096544857,0.820874811232423451,0.712935375780816893,0.983192800993234584,0.79723006425836318
43,0.730362734416631132,0.824759885395722425,0.704932495718128105,0.982569594257170942,0.774604802986345931
44,0.769369626011876195,0.817193351571967819,0.694759776038832877,0.988184642962504078,0.786297314460270069
45,0.771586928445875508,0.811290312753746301,0.679272004663293738,0.988294080548067333,0.777971937850204021
