m,spwinners,gwwinners,gewinners,owwinners,oewinners
21,0.619166666666666643,0.712500000000000022,0.856500000000000039,0.887833333333333363,0.865499999999999936
22,0.581142857142857183,0.671857142857142819,0.830833333333333313,0.860595238095238191,0.853738095238095185
23,0.539333333333333331,0.684999999999999942,0.798666666666666636,0.815833333333333299,0.81033333333333335
24,0.59099999999999997,0.717333333333333378,0.829333333333333367,0.84316666666666662,0.794499999999999984
25,0.537238095238095292,0.65326190476190471,0.766761904761904756,0.823452380952380936,0.799119047619047618
26,0.577357142857142902,0.678380952380952418,0.831833333333333313,0.850642857142857145,0.845142857142857196
27,0.607642857142857151,0.672523809523809524,0.781928571428571417,0.802166666666666694,0.800119047619047619
28,0.586880952380952392,0.650119047619047596,0.793880952380952354,0.849476190476190496,0.781309523809523787
29,0.562523809523809537,0.651547619047619042,0.797666666666666635,0.842023809523809508,0.781190476190476213
30,0.583047619047619037,0.62802380952380954,0.7996428571428571,0.870857142857142885,0.826928571428571457
31,0.588809523809523783,0.661928571428571422,0.80954761904761896,0.840285714285714302,0.817369047619047606
32,0.577630952380952412,0.674595238095238137,0.810749999999999971,0.866761904761904733,0.822559523809523796
33,0.566702380952380902,0.62805952380952379,0.829464285714285765,0.812940476190476158,0.808154761904761876
34,0.574523809523809548,0.605071428571428593,0.793404761904761946,0.842738095238095286,0.825023809523809493
35,0.578595238095238051,0.635190476190476194,0.819428571428571395,0.813000000000000056,0.813095238095238093
36,0.532738095238095233,0.649023809523809558,0.804000000000000048,0.808476190476190459,0.814833333333333298
37,0.540714285714285703,0.616642857142857159,0.764904761904761865,0.778095238095238062,0.757190476190476192
38,0.574333333333333362,0.587857142857142856,0.774666666666666726,0.780404761904761934,0.816880952380952374
39,0.573595238095238047,0.615714285714285658,0.798178571428571404,0.797678571428571459,0.801190476190476231
40,0.542261904761904723,0.610130952380952385,0.76502380952380955,0.811988095238095231,0.76313095238095241
41,0.574250000000000038,0.620607142857142913,0.805678571428571466,0.804333333333333345,0.786154761904761967
42,0.565690476190476188,0.571547619047619082,0.76990476190476187,0.791142857142857148,0.794714285714285706
43,0.517535714285714321,0.582797619047619064,0.739750000000000019,0.737404761904761896,0.760464285714285704
44,0.558904761904761904,0.599404761904761885,0.78252380952380951,0.791690476190476167,0.773833333333333373
45,0.537785714285714311,0.604452380952380963,0.809904761904761905,0.801214285714285768,0.76804761904761909
