m,spef,gwef,geef,owef,oeef
2,0,0.00999999999999999674,0.00999999999999999674,0.00499999999999999663,0.00999999999999999674
3,0,0.0199999999999999935,0.01999999999999999,0.00333333333333333615,0.01999999999999999
4,0,0.0149999999999999908,0.0274999999999999967,0.00999999999999999674,0.0224999999999999992
5,0.00199999999999999874,0.0259999999999999988,0.0279999999999999971,0.00599999999999999839,0.0159999999999999934
6,0.00833333333333333495,0.0366666666666666738,0.0466666666666666757,0.0133333333333333359,0.0383333333333333234
7,0.00428571428571428853,0.0471428571428571391,0.0457142857142857142,0.0171428571428571472,0.0342857142857142874
8,0.00624999999999999948,0.0550000000000000072,0.0537499999999999992,0.0200000000000000004,0.0337500000000000022
9,0.00555555555555555577,0.0477777777777777662,0.0333333333333333259,0.0177777777777777778,0.0277777777777777728
10,0.0109999999999999994,0.0710000000000000075,0.0550000000000000003,0.0200000000000000004,0.038999999999999993
11,0.0136363636363636374,0.0581818181818181818,0.0600000000000000117,0.0354545454545454539,0.0545454545454545428
12,0.00666666666666666709,0.0599999999999999978,0.0541666666666666685,0.0283333333333333319,0.036666666666666653
13,0.00923076923076922816,0.063846153846153858,0.0592307692307692396,0.0299999999999999989,0.0453846153846153982
14,0.0114285714285714268,0.067857142857142852,0.0514285714285714277,0.0328571428571428556,0.03785714285714286
15,0.0160000000000000003,0.0673333333333333284,0.0466666666666666688,0.0359999999999999973,0.0426666666666666652
16,0.00937500000000000139,0.0675000000000000044,0.0618749999999999925,0.03125,0.0393750000000000003
17,0.0164705882352941119,0.0805882352941176411,0.0623529411764705901,0.0347058823529411767,0.0511764705882352955
18,0.0183333333333333334,0.0655555555555555475,0.0555555555555555525,0.0244444444444444457,0.0394444444444444417
19,0.0189473684210526329,0.072631578947368422,0.0542105263157894729,0.0263157894736842056,0.0452631578947368454
20,0.0180000000000000021,0.0779999999999999999,0.0645000000000000018,0.0369999999999999982,0.0449999999999999983
21,0.024285714285714282,0.0814285714285714196,0.0671428571428571291,0.0414285714285714257,0.0466666666666666688
22,0.0209090909090909084,0.0950000000000000011,0.0677272727272727332,0.0427272727272727249,0.0509090909090909108
23,0.0169565217391304326,0.0734782608695652151,0.0626086956521739041,0.0352173913043478254,0.0482608695652173916
24,0.0162500000000000006,0.0758333333333333359,0.0699999999999999928,0.0429166666666666655,0.0487499999999999947
25,0.0255999999999999978,0.092399999999999996,0.0672000000000000097,0.0488000000000000031,0.0551999999999999991
26,0.0188461538461538493,0.0780769230769230854,0.0669230769230769323,0.0488461538461538516,0.0546153846153846073
27,0.0300000000000000024,0.0933333333333333237,0.0677777777777777701,0.0533333333333333368,0.0548148148148148093
28,0.0224999999999999957,0.0842857142857142833,0.073214285714285704,0.0446428571428571369,0.0457142857142857142
29,0.0182758620689655177,0.0868965517241379326,0.0703448275862069011,0.0444827586206896566,0.0489655172413793124
