m,spefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0.0314273634364355403,0,0,0
3,0,6.49620178311503127e-05,0,0,0
4,0,0.0908949856599105543,0,0,0
5,0,0.11545364176426029,0,0,0
6,0,0.0967869810924278234,8.38363514420042672e-06,0,0
7,7.60861294986097315e-06,0.0346572977977292959,7.60861294986097315e-06,0,0
8,6.40286848508277043e-06,0.0323148966209423349,1.7563842616891403e-05,0,0
9,2.37819599285603883e-05,0.0695755656808092204,4.74620105134933223e-05,3.55651462466566196e-05,2.71863752801381151e-05
10,2.58322896960958434e-05,0.0474224078339227917,7.50191570734936241e-05,0.000228282683956072504,2.38007276993526152e-05
11,4.5151278063368814e-05,0.0182399389277134207,0.00550713726412372512,0.000652304406379089052,0.000172072483652394801
12,0.000144949250264833553,0.0104677350584374239,0.000114421741931905149,0.00140082163579676442,6.110138219917408e-05
13,6.72786498472253362e-05,0.0194623473704855186,0.000122598323409994065,0.000671037766238551103,4.59467788425102098e-05
14,0.000113823270844631185,0.00266798678942610371,0.000334187882402954854,0.00165466480363739765,0.000338698317123827214
15,9.88601256135561901e-05,0.00144530399518158254,0.00292651687584011668,0.00116391897023122273,0.000266603992757206759
