m,spmc,gwmc,gemc,owmc,oemc
2,0.754166666666666652,0.104166666666666657,0.108333333333333337,0.200000000000000011,0.200000000000000011
3,0.650000000000000022,0.19166666666666668,0.195833333333333331,0.220833333333333326,0.233333333333333337
4,0.558333333333333348,0.195833333333333331,0.162500000000000006,0.225000000000000006,0.225000000000000006
5,0.474999999999999978,0.154166666666666674,0.149999999999999994,0.24583333333333332,0.241666666666666669
6,0.424999999999999989,0.154166666666666674,0.179166666666666669,0.241666666666666669,0.241666666666666669
7,0.341666666666666674,0.100000000000000006,0.141666666666666663,0.170833333333333337,0.174999999999999989
8,0.316666666666666652,0.108333333333333337,0.0833333333333333426,0.174999999999999989,0.174999999999999989
9,0.262500000000000011,0.0833333333333333287,0.100000000000000006,0.12916666666666668,0.116666666666666655
10,0.216666666666666674,0.079166666666666663,0.0749999999999999972,0.0874999999999999944,0.104166666666666657
11,0.195833333333333331,0.079166666666666663,0.0666666666666666796,0.0500000000000000097,0.0666666666666666796
12,0.179166666666666669,0.0374999999999999986,0.0458333333333333301,0.0416666666666666713,0.0416666666666666713
13,0.133333333333333359,0.0500000000000000028,0.0250000000000000049,0.0291666666666666637,0.0291666666666666637
14,0.108333333333333337,0.0333333333333333398,0.0541666666666666616,0.0333333333333333398,0.0374999999999999986
15,0.100000000000000006,0.0125000000000000007,0.0333333333333333398,0.0208333333333333322,0.0208333333333333322
