m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.892001745009578406,0.102530766133210063,0.0995307661332100607,0.333763227735960344,0.334250453255538815
3,0.827475380889931111,0.164805717113515604,0.163012218706760553,0.523255884858872089,0.508593211543666324
4,0.824907735180485768,0.146921510852261961,0.140976829868164094,0.497944721529469558,0.486217205385678142
5,0.790678132345793649,0.177204493197169383,0.167019826769423285,0.552350001757017206,0.5486038364569229
6,0.756017273963760172,0.193570057231168602,0.174613581744880203,0.55127169620568206,0.565886385934328606
7,0.728934782600433873,0.218455920425664335,0.199188702463370004,0.568486612261980606,0.587897278648667143
8,0.711209808007984612,0.196513430410527656,0.224395789041557686,0.522982769743899567,0.562030397793058634
9,0.739379439503643709,0.210978346632843955,0.219083671241411621,0.514847426216930693,0.537270551053393386
10,0.678179187619585955,0.208879952624819815,0.185916514286414425,0.457436170149164212,0.489931564291429145
11,0.68119433834408627,0.212114913998111526,0.224182537165150408,0.529065790238668954,0.55481698667192747
12,0.645631401475279976,0.214357625416399522,0.248830585043129743,0.470086591907113771,0.582655289200361137
13,0.625971237854426987,0.205304883082724848,0.202785957448392701,0.46068266001892888,0.514730062298299651
14,0.628900981645775348,0.183110935232323219,0.201697972689321076,0.399358256506989029,0.509629932020144061
15,0.617410192544960101,0.203334188571130864,0.209038323990833969,0.404761071719027921,0.496575480200178998
16,0.616973385227577609,0.218276562380913558,0.22710220332726333,0.407589413363250663,0.538462527007211866
17,0.592506080375705957,0.215929622476205507,0.211018406544282583,0.324451936485587122,0.487256164582722751
18,0.563981651910853921,0.193306737644556859,0.218529010863506484,0.380404124010829348,0.462892861446136394
19,0.550205623614406836,0.207403011678140375,0.221185562105822991,0.352499184564724399,0.453416392312496808
20,0.598896697044463799,0.186047588423587568,0.228634755746626478,0.36729594424384665,0.499719824084568109
21,0.54644614523648849,0.194154885701203123,0.190669008721287531,0.308405657199004479,0.458841262439610265
22,0.55785043976491766,0.183334671261986798,0.207436669973173698,0.254563780172111953,0.412718900897525331
23,0.574787953939916219,0.214882325223788501,0.218449509101080241,0.33285805480326508,0.447767404927418566
24,0.556376993723243007,0.193088235233590061,0.202499510835361468,0.343631375548523188,0.476680101790850519
25,0.543343247390707718,0.214958669579102452,0.233281716426253977,0.262407582509623816,0.427560995940703126
26,0.511650706293508173,0.208343092401625324,0.189986969370965098,0.284398045251420983,0.456572248394454983
27,0.500684705761283544,0.181674375485261275,0.206353039973206365,0.288151944338767008,0.421685874796046134
28,0.50840360681059793,0.199555651581899307,0.217094167057631182,0.265718261112788179,0.436065556145752153
29,0.502795496188115587,0.18937288709558589,0.193679606427250628,0.267933384274492925,0.448743820884189681
