m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.98546570317844806,0.997625944148198274,0.990298500051242092,0.99949264262914983,0.990298500051242092
3,0.961201709269428051,0.993732020420409645,0.975026578026734758,0.999106322881836872,0.982176063119402531
4,0.946042688344369553,0.993369869787164017,0.953685972556853279,0.992202848112093472,0.957717177969618083
5,0.932608310969613385,0.977594621963850163,0.930334578209283336,0.977267001290785142,0.943567326078132207
6,0.859644391497440985,0.966392078467074089,0.89975304949675794,0.979206147289343964,0.91976938248900475
7,0.875150770729975491,0.954978352520762908,0.895024862736068849,0.981496476823495834,0.918386390179711132
8,0.849738280709431026,0.945158160085561416,0.84678156981622954,0.966694684774659363,0.894571308190626024
9,0.842079675501184233,0.936292824009048785,0.895417645997980349,0.975726622555850298,0.922482915202264775
10,0.778433624469983099,0.921254371685902629,0.83536396075606667,0.962614250198969734,0.896314470489892101
11,0.79222875466568643,0.934503024436964091,0.84057164130657358,0.961045831626690328,0.870867683025818629
12,0.78554856074600099,0.911561405843709593,0.807019424306201549,0.953753510276873828,0.861418078454736058
13,0.79140960198457011,0.926720015080448656,0.796323795229010534,0.942454411892389765,0.851773835617876118
14,0.769838186370843114,0.912888823843473474,0.810695345137425138,0.949865304261005017,0.865152803762462841
15,0.751423522768850383,0.905442702642711317,0.809132707777083349,0.934663106645481356,0.835842839243578828
16,0.731636956449235321,0.885107726123712357,0.727719549001452859,0.947512832241158232,0.830488405317538758
17,0.702784374495743158,0.839885480495545012,0.754982052271778059,0.950974434501860699,0.828688736755243904
18,0.758255512557215794,0.876335098139630619,0.746197565362024529,0.933129495163728673,0.828212985204086927
19,0.727791480661991286,0.870650758341103281,0.744738730726423936,0.953295362459120832,0.806692036111267496
20,0.703677530788793693,0.875105618692667675,0.734244695893503718,0.925499442249661075,0.784345073139454341
21,0.723690010425951713,0.851203438024103254,0.740602309247206714,0.926711539191311551,0.808251979699619927
22,0.676762068507866799,0.829941960018686919,0.725095444147728641,0.918634497875837064,0.801156604616270696
23,0.705295104965172226,0.846000445316616445,0.710191771341796452,0.923813136071173102,0.786186904228562411
24,0.706613459223522811,0.868456015609724741,0.70146569766587763,0.888324980317453106,0.781398883839589886
25,0.695289694548170023,0.833751929225948207,0.695360150597073012,0.913406102898924988,0.768472684154704044
26,0.690487263221878478,0.843517115125136607,0.694801824673091262,0.91054453668640023,0.759981596881005528
27,0.690019025190864332,0.845227775624174171,0.710891372423936185,0.923865667625557774,0.792790717744301654
28,0.710389100797942485,0.832840736316393215,0.694641637743499185,0.928064560698840246,0.787313786507443103
29,0.702696124937453925,0.846233073462035801,0.668944038733029878,0.903179957383946852,0.750614650238537351
