m,sptime,gwtime,getime,owtime,oetime
2,0.000699598770000000019,0.00387265165999999992,0.00362610958000000004,0.334372669840000025,0.0577581671899999941
3,0.000577021019999999964,0.00454193372000000033,0.0046181964999999995,0.413638698739999977,0.131375333970000008
4,0.0010082320200000001,0.00644856207000000028,0.00588670239999999987,0.510723753309999973,0.332520134199999984
5,0.00168630233999999993,0.00700846612000000004,0.00752854790999999985,0.572534306120000003,0.34272072922000002
6,0.00277145490999999985,0.00893101221999999945,0.00800580356000000007,0.646216413830000058,0.345761224049999982
7,0.00423780691000000004,0.00959725659000000043,0.0120474527299999998,0.777353752480000049,0.501983427990000064
8,0.00548513279999999961,0.00909349316999999956,0.0120582052300000006,0.776527810619999981,0.578576686050000011
9,0.0075405764400000002,0.0129055630599999999,0.0161779089200000011,0.973806575929999974,0.733012611459999963
10,0.00961782396000000067,0.0134754555299999995,0.0160815727499999984,1.01577577578999989,0.69544352253999997
11,0.0122421600999999998,0.00991538445999999921,0.01218552631,1.02795748156000011,0.78055514834999995
12,0.0144573614600000001,0.0166075439999999984,0.0255555139899999971,1.22941792124000004,1.07182876128999993
13,0.0192011149600000014,0.0148546753900000005,0.0176101395500000008,1.1504940187699999,0.88338794545999999
14,0.0225537094199999982,0.0116067229100000006,0.0174725472000000007,1.12113999031999989,0.855903310880000046
15,0.0252231346399999987,0.0139274409699999997,0.0236814858600000004,1.32553779173999997,0.947486283180000055
16,0.0299164751600000008,0.0169465173099999991,0.023157321849999999,1.4148027620100001,1.14539991582000011
17,0.0344515807999999993,0.0168720527199999991,0.0271998406400000003,1.47529452236000003,1.08800000460000001
18,0.0395596759699999995,0.0139674147300000006,0.0267911472699999993,1.62300930347999994,1.2434463765399999
19,0.0444013410199999986,0.0237523145700000021,0.0345993606299999992,1.92692300812999995,1.45878059787000014
20,0.0483827073200000027,0.0145302648900000001,0.0327478455099999982,1.65771225719000004,1.37003378032000001
21,0.0578756961600000036,0.0169282356800000006,0.0346332333600000014,1.68869673095000006,1.45348833839000013
22,0.0626500978400000019,0.014858953309999999,0.0366097575200000011,1.65831600298999993,1.5606763750499999
23,0.0673593821399999931,0.0209197618600000003,0.0387591032600000038,1.96008988859,1.64505157442000005
24,0.0783169339700000022,0.0138641475900000005,0.0397978634399999975,1.78549086824999992,1.81567567963999998
25,0.0830207459099999989,0.0180585731300000017,0.0485017498800000002,2.13219560943000008,1.91233401029999994
26,0.0942228978900000042,0.0231408145400000022,0.0410295039499999972,2.10328113573000008,1.85117275674000004
27,0.105086373659999996,0.0198706303800000005,0.0571154148699999989,2.43322973294000011,2.37278611373000015
28,0.109967563490000003,0.0183760318599999993,0.0478549132199999963,2.41926210335999992,2.11255407406000018
29,0.123678728690000003,0.0191795532800000008,0.0477088774200000038,2.29644622567000001,2.29214747211999992
