m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,0.991847787140219594,0.997625944148198274,0.990805857422092262,1,0.990805857422092262
3,0.971909569277780161,0.993732020420409645,0.981465441355762191,0.999106322881836872,0.982176063119402531
4,0.972611295090827443,0.993369869787164017,0.964150262696115257,0.998727099914051619,0.964634488461947326
5,0.957429599066857984,0.977594621963850163,0.946395701845795578,0.997706126572342034,0.960873148968325097
6,0.901494074484970542,0.967269829653473856,0.912553270256129756,0.991648529661835698,0.933695557918378882
7,0.924572452747988049,0.954978352520762908,0.905924313503135958,0.995003701582469091,0.920225812645123487
8,0.902253294967764519,0.945428445629349246,0.869678432612139618,0.991636722066668974,0.910267699851426637
9,0.894742953175728828,0.937660619875557821,0.908032900175018254,0.99257493590860113,0.937996555047556746
10,0.851899942740961147,0.92511269211977265,0.87031611506014428,0.9894686983317863,0.920820542223422023
11,0.87482075519117708,0.940076068393153497,0.85868764714316792,0.981393805693660304,0.880353234325579659
12,0.865850257148645275,0.9194217019236125,0.843514475240105255,0.989069657892167164,0.875917363666944393
13,0.868925310529799932,0.927533796448758219,0.831780357803186821,0.986928947755951191,0.87959964171834204
14,0.847896345829663445,0.913640145998952602,0.837353554304855474,0.984791903639451904,0.897204966337416754
15,0.841737664832215349,0.91867383951086079,0.840225076938034721,0.992189282265828698,0.86966074040627106
16,0.822995239287820368,0.889961316656473822,0.761248189866951308,0.981338371785846042,0.847555532807287237
17,0.791113233098958535,0.84115764010926164,0.78328041140736504,0.989088530162702706,0.856012261290025944
18,0.857446589748109389,0.881847295905262119,0.775426170358983757,0.98548150080873298,0.854779031424272029
19,0.824369292089391692,0.875880246682712249,0.777736246538433984,0.983198453889623236,0.831295358820494434
20,0.795872396774020996,0.880185910215923295,0.774721717944209742,0.979784737034017583,0.820359058744985603
21,0.814116181909790404,0.853104031521438544,0.783210673845405547,0.987671422020932721,0.855964040740211152
22,0.766605224975316912,0.838844660724992308,0.768387903572317787,0.984846697554805806,0.841458440868766977
23,0.777405637406951455,0.849664517326510937,0.74955020915934123,0.972629360879745164,0.82683931541654021
24,0.78657603657009123,0.869560278246732765,0.734106836745624158,0.96548229064091895,0.806987405518053591
25,0.77103722609303027,0.836687039145299516,0.728573277724985258,0.985427986758235841,0.800531954435397708
26,0.779859737218551952,0.848470835790899436,0.73228986945297514,0.98526165476543881,0.804464248628213863
27,0.788804766606079566,0.846604581398162415,0.749788525768926517,0.974478054045823439,0.826058717921412611
28,0.804563914773059552,0.840652889466481423,0.721812757958180118,0.991900127726097924,0.812676751024078992
29,0.788579537376988049,0.848521943157834357,0.707746040506416874,0.981154645774115597,0.783369204209322989
