m,spwinners,gwwinners,gewinners,owwinners,oewinners
2,0.974999999999999978,0.994999999999999996,1,1,1
3,0.935000000000000053,0.979999999999999982,0.994999999999999996,0.989999999999999991,0.989999999999999991
4,0.935000000000000053,0.978333333333333277,0.989999999999999991,0.988333333333333286,0.983333333333333282
5,0.890000000000000013,0.931666666666666643,0.983333333333333282,0.984999999999999987,0.973333333333333384
6,0.792499999999999982,0.939999999999999947,0.970833333333333326,0.967500000000000027,0.983333333333333282
7,0.839333333333333376,0.906000000000000028,0.96050000000000002,0.977500000000000036,0.962500000000000022
8,0.74233333333333329,0.857166666666666632,0.919666666666666632,0.94633333333333336,0.933333333333333348
9,0.686499999999999999,0.85966666666666669,0.918166666666666687,0.948999999999999955,0.9331666666666667
10,0.691333333333333355,0.804666666666666641,0.902833333333333377,0.930333333333333345,0.913666666666666627
11,0.702333333333333365,0.856833333333333336,0.93083333333333329,0.923000000000000043,0.952500000000000013
12,0.67000000000000004,0.842666666666666675,0.871333333333333293,0.925333333333333341,0.856166666666666631
13,0.6831666666666667,0.820500000000000007,0.904000000000000026,0.921333333333333337,0.906333333333333324
14,0.648833333333333373,0.809666666666666646,0.893833333333333258,0.927999999999999936,0.90566666666666662
15,0.648952380952380947,0.801071428571428545,0.903571428571428581,0.927571428571428602,0.923904761904761895
16,0.648666666666666614,0.787000000000000033,0.861166666666666636,0.89800000000000002,0.850666666666666682
17,0.634499999999999953,0.736999999999999988,0.813666666666666649,0.903000000000000025,0.86616666666666664
18,0.657499999999999973,0.761833333333333362,0.829333333333333367,0.895000000000000018,0.850666666666666682
19,0.618619047619047624,0.722714285714285642,0.831119047619047646,0.876785714285714279,0.865285714285714325
20,0.598166666666666624,0.711166666666666614,0.837166666666666615,0.856500000000000039,0.8168333333333333
21,0.619166666666666643,0.712500000000000022,0.856500000000000039,0.887833333333333363,0.865499999999999936
22,0.581142857142857183,0.671857142857142819,0.830833333333333313,0.860595238095238191,0.853738095238095185
23,0.539333333333333331,0.684999999999999942,0.798666666666666636,0.815833333333333299,0.81033333333333335
24,0.59099999999999997,0.717333333333333378,0.829333333333333367,0.84316666666666662,0.794499999999999984
25,0.537238095238095292,0.65326190476190471,0.766761904761904756,0.823452380952380936,0.799119047619047618
26,0.577357142857142902,0.678380952380952418,0.831833333333333313,0.850642857142857145,0.845142857142857196
27,0.607642857142857151,0.672523809523809524,0.781928571428571417,0.802166666666666694,0.800119047619047619
28,0.586880952380952392,0.650119047619047596,0.793880952380952354,0.849476190476190496,0.781309523809523787
29,0.562523809523809537,0.651547619047619042,0.797666666666666635,0.842023809523809508,0.781190476190476213
