m,apef,usef,gwef,geef,owef,oeef
2,0,0,0,0.0762499999999999983,0,0.0762499999999999983
3,0.0333333333333333259,0,0,0.0866666666666666696,0,0.0853333333333333305
4,0.0529166666666666674,0,0.000416666666666666368,0.0875000000000000083,0.000416666666666666368,0.0908333333333333215
5,0.073666666666666672,0,0.000333333333333333051,0.0920000000000000123,0,0.0916666666666666741
6,0.0886111111111110988,0,0.00111111111111111111,0.0947222222222222215,0.000555555555555555663,0.0991666666666666669
7,0.0947619047619047555,0,0.00142857142857142727,0.110000000000000001,0.000714285714285713743,0.112857142857142864
8,0.0867857142857142716,0,0.00107142857142857083,0.119464285714285717,0.0026785714285714286,0.125892857142857167
9,0.0985714285714285599,0,0.00126984126984127006,0.14253968253968255,0.00190476190476190454,0.142857142857142849
10,0.097571428571428559,0,0.00214285714285714166,0.140571428571428569,0.00157142857142857084,0.141142857142857181
11,0.106883116883116899,0,0.00337662337662337619,0.143116883116883142,0.00207792207792207749,0.148051948051948046
12,0.108095238095238091,0,0.00333333333333333311,0.148928571428571438,0.00071428571428571396,0.156190476190476185
13,0.113516483516483538,0,0.00439560439560439473,0.154395604395604374,0.00054945054945054945,0.163626373626373639
14,0.117448979591836741,0,0.00632653061224489836,0.158877551020408153,0.00071428571428571396,0.157857142857142863
15,0.11399999999999999,0,0.0049523809523809529,0.168095238095238075,0.000857142857142856882,0.160952380952380958
16,0.120089285714285704,0,0.00446428571428571404,0.165982142857142828,0.000624999999999999905,0.165089285714285744
17,0.11974789915966387,0,0.00647058823529411686,0.177142857142857102,0.000252100840336134664,0.174285714285714294
18,0.12634920634920635,0,0.00539682539682539552,0.185476190476190489,0.000873015873015873015,0.182063492063492066
19,0.127518796992481198,0,0.00473684210526315735,0.17932330827067669,7.51879699248120807e-05,0.181729323308270685
20,0.126785714285714279,0,0.00442857142857142842,0.187571428571428556,0.000499999999999999794,0.180142857142857132
