m,apefloss,usefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0,0,0.0591160143702393406,0,0.0591160143702393406
3,0.0999999999999999917,0,0,0.0800742786612901603,0,0.0804423924074169627
4,0.209170837307536189,0,0.00054199725727443668,0.0853960581974509553,0.00016967554959467781,0.0884947608119467377
5,0.316917401815673461,0,0.000720550469798617033,0.0962969517718833545,0,0.0882347479035715532
6,0.425662693919054258,0,0.000907917190871645693,0.108830994113154667,0.000440129911923778068,0.105780342411315911
7,0.463669655420675453,0,0.0023213909784668826,0.130139199433658842,0.000943514971338582815,0.127918766209113882
8,0.440227643813050851,0,0.00216209898180859785,0.160081412183198324,0.00245320797812529755,0.161956509434799528
9,0.493338065714022111,0,0.00146323692043834092,0.190156843605573889,0.00228083574346313626,0.19081334471105299
10,0.497664237207003257,0,0.00370106902388837866,0.184201145355368856,0.00199485231371481072,0.192733602343261756
11,0.543989575355806276,0,0.0057706059975797851,0.197847086100204489,0.00218767195096227895,0.203120825306014635
12,0.530091289924741971,0,0.00588655939827951741,0.207290130144319545,0.00150402889091153088,0.225857041317153978
13,0.546050320362012509,0,0.00671941788109096765,0.225316556123744016,0.000868699998775331115,0.227305358868929497
14,0.57943861264314489,0,0.0135164564079133798,0.23785719701205027,0.000946742536047591281,0.233761600260521396
15,0.581421607474571611,0,0.0108749454902224169,0.23521443618377863,0.00093896518678955967,0.239657137205818799
16,0.59974340541687976,0,0.00936024586270314644,0.233660753371953689,0.000780582306104677455,0.238134950235207032
17,0.598381917223812176,0,0.0108643970108254218,0.249003715818085419,0.00187898844308932679,0.243596076441605663
18,0.618951435293627616,0,0.0100264360932732482,0.246687126840511584,0.00195948514802973383,0.249792344534300048
19,0.623424916272310559,0,0.0108289109559808246,0.242884590427084379,0.000203297434180968077,0.251088833569074632
20,0.621050158141264186,0,0.00857403992319323398,0.263807478348439373,0.000959219139987653609,0.26956821692780697
