m,apmc,usmc,gwmc,gemc,owmc,oemc
2,0,0.214285714285714246,0.0335714285714285715,0.0703571428571428542,0.0335714285714285715,0.067142857142857143
3,0,0.285714285714285698,0.0597142857142857197,0.109999999999999987,0.0588571428571428648,0.109428571428571431
4,0,0.357142857142857151,0.0842857142857142833,0.133333333333333331,0.078571428571428556,0.121190476190476182
5,0,0.357142857142857151,0.0995238095238095144,0.154999999999999999,0.0902380952380952284,0.136190476190476167
6,0,0.357142857142857151,0.112380952380952373,0.162142857142857116,0.0980952380952380826,0.138571428571428568
7,0,0.357142857142857151,0.120952380952380936,0.181904761904761902,0.104999999999999996,0.14499999999999999
8,0,0.428571428571428492,0.113265306122448978,0.15448979591836734,0.0928571428571428464,0.12346938775510205
9,0,0.428571428571428492,0.118163265306122436,0.157755102040816331,0.097755102040816319,0.132244897959183677
10,0,0.428571428571428492,0.117551020408163259,0.158367346938775494,0.0985714285714285599,0.136530612244897959
11,0,0.428571428571428492,0.122040816326530605,0.165510204081632611,0.104489795918367351,0.139795918367346922
12,0,0.428571428571428492,0.123265306122448987,0.166326530612244866,0.109591836734693859,0.14122448979591834
13,0,0.428571428571428492,0.130204081632653068,0.159183673469387721,0.114081632653061218,0.145510204081632649
14,0,0.428571428571428492,0.124489795918367355,0.163469387755102058,0.111020408163265305,0.146734693877550976
15,0,0.428571428571428492,0.128367346938775523,0.156326530612244857,0.118775510204081627,0.146326530612244848
16,0,0.428571428571428492,0.133061224489795932,0.159591836734693876,0.123877551020408178,0.149795918367346931
17,0,0.428571428571428492,0.133061224489795904,0.159183673469387721,0.123061224489795909,0.149795918367346931
18,0,0.428571428571428492,0.134897959183673477,0.162040816326530585,0.1236734693877551,0.15285714285714283
19,0,0.428571428571428492,0.130612244897959168,0.159999999999999976,0.123265306122448987,0.152448979591836703
20,0,0.428571428571428492,0.13551020408163264,0.16081632653061223,0.127959183673469395,0.155714285714285722
