m,apwinners,uswinners,gwwinners,gewinners,owwinners,oewinners
2,1,1,1,1,1,1
3,0.984999999999999987,0.969999999999999973,0.991999999999999993,0.996999999999999886,0.994999999999999885,1
4,0.967222222222222094,0.870833333333333237,0.975277777777777799,0.970277777777777684,0.992222222222222228,1
5,0.950555555555555487,0.850277777777777799,0.964999999999999969,0.967499999999999916,0.987499999999999933,1
6,0.943888888888888888,0.828333333333333255,0.956666666666666665,0.956666666666666665,0.987777777777777755,1
7,0.945833333333333304,0.823611111111111072,0.958055555555555549,0.94805555555555554,0.98999999999999988,1.00166666666666671
8,0.945952380952380878,0.728275510204081655,0.952857142857142847,0.954761904761904812,0.990714285714285658,1
9,0.941904761904761911,0.724649659863945472,0.957619047619047592,0.959285714285714297,0.991904761904761956,0.999285714285714333
10,0.956904761904761925,0.720938775510204133,0.963571428571428634,0.963333333333333264,0.995952380952380922,1
11,0.957619047619047592,0.715908163265306152,0.966190476190476266,0.962142857142857189,0.994999999999999996,0.999285714285714333
12,0.96166666666666667,0.715064625850340141,0.973809523809523792,0.961190476190476262,0.994761904761904736,1
13,0.975238095238095126,0.715850340136054308,0.980476190476190501,0.980952380952380909,1.00071428571428567,1.00142857142857133
14,0.972380952380952346,0.714316326530612278,0.983571428571428541,0.976666666666666572,0.999285714285714333,0.999523809523809481
15,0.978809523809523796,0.71329251700680274,0.986190476190476173,0.981428571428571428,0.998571428571428554,0.999523809523809481
16,0.979761904761904723,0.714190476190476153,0.98690476190476184,0.982857142857142874,0.997857142857142887,1.00071428571428567
17,0.980476190476190501,0.713629251700680256,0.988809523809523805,0.983571428571428541,0.999761904761904741,0.999761904761904741
18,0.980238095238095242,0.713823129251700661,0.986666666666666581,0.989285714285714213,1,1
19,0.987857142857142878,0.714299319727891069,0.99642857142857133,0.994285714285714328,1.00452380952380937,1.00571428571428578
20,0.991190476190476177,0.714428571428571302,0.99357142857142855,0.994047619047618958,1.00357142857142856,1.00166666666666671
