m,spefloss,gwefloss,geefloss,owefloss,oeefloss
2,0,0.0356348495663781697,0.0306238637087258812,0.0220719366532829211,0.0245838079988020021
3,0.00144844475762429914,0.0322124521164864897,0.0222070309274782982,0.0167246551231624296,0.0110366583481603074
4,0.00270318113784886235,0.0217017559185833202,0.0168868766141417707,0.0062520902488730646,0.00497820533015235281
5,0.00256508283791222506,0.015378350602534098,0.0102760125455845525,0.00341125836866325175,0.00231449650437540958
6,0.00475516021752765954,0.0178867219331956713,0.0111055467385505029,0.00299653568035071266,0.0020662926095969909
7,0.00443396803015983377,0.0190156798951687731,0.0104056398903350483,0.0019838372610776105,0.00105066404431280471
8,0.00546800634841374499,0.0179419957073051542,0.00886051939839054871,0.0018085431566417674,0.00151985881734741589
9,0.00298639376306806528,0.0146522638556859982,0.00492922457007583838,0,0.000112500914406962513
10,0.00667741674855385717,0.0203465999271334984,0.0122567501122124306,0.000829102633117724769,0.000338320874359071284
11,0.00399953947056022694,0.0229050728076521937,0.00682946145733846419,0.00055215332467289512,0
12,0.00653256984407511471,0.0158881428028389109,0.00706419262798139557,0,0
13,0.00500952898519659278,0.0193363525319961045,0.00633917905255745092,0.00060589552320178177,0
14,0.0084035973943318628,0.027796178888620595,0.00459868903301255405,0.000858044859687300053,0.00039338916577745292
15,0.00540055333924747104,0.0281799502304738714,0.00917771287990494684,0.000530395409816098178,0
16,0.00850880013127604945,0.0256762038263765487,0.00983603422810540653,0,0
17,0.00770002860494151294,0.0262526644757078882,0.0104276619194882212,0,0.000557736415584245485
18,0.0096917002587799915,0.0227283649022873256,0.0092919122325418619,0,0
