m,spmc,gwmc,gemc,owmc,oemc
2,0.572937499999999877,0.161937500000000012,0.161749999999999977,0.271375000000000033,0.276749999999999996
3,0.540687499999999988,0.209312499999999985,0.223250000000000004,0.337937500000000002,0.345874999999999988
4,0.517000000000000015,0.26018749999999996,0.27250000000000002,0.377625000000000044,0.387624999999999997
5,0.498687500000000061,0.294187499999999991,0.304249999999999965,0.405437500000000006,0.410625000000000018
6,0.480374999999999996,0.295812500000000034,0.308562499999999962,0.396374999999999977,0.40081249999999996
7,0.474250000000000005,0.305562500000000015,0.312500000000000056,0.387687499999999963,0.391812500000000008
8,0.469249999999999945,0.312187500000000007,0.319187499999999957,0.386312500000000003,0.390624999999999944
9,0.462062499999999987,0.321875000000000022,0.328500000000000014,0.382249999999999979,0.383812500000000001
10,0.447833333333333361,0.308333333333333293,0.317833333333333357,0.368000000000000049,0.367083333333333373
11,0.44349999999999995,0.311333333333333295,0.318500000000000005,0.368749999999999967,0.367750000000000021
12,0.429499999999999993,0.304666666666666697,0.314249999999999974,0.350166666666666682,0.353499999999999981
13,0.420666666666666689,0.302083333333333315,0.312833333333333352,0.333833333333333371,0.333416666666666694
14,0.400375000000000036,0.267125000000000001,0.276875000000000038,0.32587499999999997,0.327000000000000013
15,0.380375000000000019,0.270000000000000018,0.280874999999999986,0.307374999999999954,0.308250000000000024
16,0.373750000000000027,0.259624999999999995,0.272125000000000006,0.298499999999999988,0.297875000000000001
17,0.369750000000000023,0.257000000000000006,0.268374999999999975,0.286750000000000005,0.284750000000000003
18,0.366124999999999978,0.255750000000000033,0.270000000000000018,0.281374999999999986,0.280249999999999999
