m,spmcloss,gwmcloss,gemcloss,owmcloss,oemcloss
2,0.572937499999999877,0.225668952606627643,0.223151053122533166,0.366633257132425394,0.37007188001436464
3,0.540687499999999988,0.233541866873188897,0.245104064848956804,0.365723575114571209,0.371906938891942596
4,0.517000000000000015,0.263712513975627449,0.273323908392536286,0.382044374030228839,0.390892201095271896
5,0.498687500000000061,0.286647178122915014,0.29466243385053692,0.397362877277482762,0.401445733433555163
6,0.480374999999999996,0.287604828757937414,0.29886250176132334,0.386335899624847934,0.390651453879173438
7,0.474250000000000005,0.297814469108832636,0.303273135103214908,0.377921810701152494,0.382214096974014039
8,0.46925,0.304979504172937899,0.312079671251312918,0.376276631431410602,0.380727676847311458
9,0.462062499999999932,0.315416417305600327,0.321011813730103845,0.373091927212500674,0.374697663529028113
10,0.447833333333333361,0.300392699111212691,0.310203256617834933,0.358322478911906384,0.35669521647863206
11,0.44349999999999995,0.303656199014763817,0.311653367756655697,0.361961123117152728,0.361662426708713403
12,0.429499999999999993,0.299129699114754843,0.308001645061166507,0.343877092586296396,0.347010445216517915
13,0.420666666666666689,0.299181036821608626,0.308701057522395683,0.329218191958643602,0.328614862975446786
14,0.400375000000000036,0.263484354586498937,0.272162856184051005,0.320165219632191356,0.321155447475012734
15,0.380375000000000019,0.266664149406574069,0.278176405445000274,0.300108452470239429,0.301104417594604989
16,0.373750000000000027,0.259454842983978695,0.27136275546798877,0.293596665148753488,0.292456783630461792
17,0.369750000000000023,0.255864911155943675,0.266962474607926881,0.284045956640033903,0.282416262879249591
18,0.366124999999999978,0.254399994187742284,0.268373636004585858,0.281095590073955459,0.280268196234824574
