m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
2,0.844070083588569386,0.898817938182533971,0.871736946447165484,0.894189588391383516,0.878992473181926304
3,0.727302384625665654,0.810116650543575401,0.788379249200215848,0.800497801210720783,0.791959626022174179
4,0.675494545830761073,0.753967435689444243,0.738622970082864594,0.738402816731773104,0.736925496102039279
5,0.641119924081035242,0.70107956862109766,0.693644938206056327,0.696123873761639089,0.695246297105184374
6,0.620783030495794086,0.671576913190516822,0.66806988784423027,0.669752413252014511,0.669419874014722138
7,0.605410044160274996,0.646220669986662055,0.64398146332046402,0.64750363018288315,0.647591259694655363
8,0.59469524879519553,0.632520669808651181,0.631618791980970817,0.631755781372055791,0.631331596755760449
9,0.584539488211208935,0.614582254829378893,0.61337064116586737,0.618116471289080538,0.61761966446206229
10,0.565752100352019394,0.606438192969156353,0.608047319144419895,0.615030481149972608,0.61474104715179656
11,0.56000473783625615,0.595776384205793264,0.597297640506839422,0.603703580717283139,0.604033414208418828
12,0.55540171344907463,0.587458042085459264,0.589634441129053832,0.594504532341774472,0.594193109043519185
13,0.551119290108904702,0.579902020531818052,0.581890946844684787,0.586304306575829326,0.586666735953709995
14,0.541602698084059808,0.582740782760415965,0.585887528224219412,0.592802380036571597,0.59252764388071133
15,0.533830899212886845,0.573024475008308998,0.579129111332874258,0.583173493707078938,0.583033841883389914
16,0.531028015653701946,0.568752337909410599,0.571256892083479628,0.576110704982207178,0.576139709090958574
17,0.527979472561908136,0.562505934463629509,0.567524335285208514,0.574195372781360236,0.574116153098580329
18,0.523552797568492601,0.559501084412665994,0.563319639326376409,0.567366542803305784,0.566758207056780483
