m,sptime,gwtime,getime,owtime,oetime
2,7.58862956250000095e-05,0.00149419947062500022,0.00136802947874999992,0.0668053272512499907,0.0383298415037500034
3,0.000172827757499999972,0.00258107759125000011,0.00218258463750000027,0.0712400983043749991,0.0459308513518750031
4,0.00019422580437500003,0.00361245649375000009,0.00328108380687500015,0.0828570252999999979,0.0540669677087499967
5,0.000274440551874999999,0.00479655112812499979,0.00446510996249999993,0.091175783847500011,0.0641505737787499974
6,0.000528598634374999928,0.00620512726875000007,0.00552278891187499982,0.0950722509668750076,0.0769425659212499974
7,0.00066121923125000016,0.00775355012000000093,0.00649392939999999998,0.104495648444374992,0.0891285068806250136
8,0.000939572008750000028,0.00900919230500000015,0.0074577133500000007,0.114941475448749997,0.10147042606874998
9,0.00130006964874999995,0.0106197542037499999,0.00849052245687499998,0.125879825046249977,0.115520674421874997
10,0.00157047550249999994,0.0111629340024999996,0.00893090618333333176,0.142985183612499983,0.130498189586666674
11,0.00215747830083333307,0.0126486401500000012,0.0101002374300000006,0.156566544343333336,0.145888538276666674
12,0.00240833497916666684,0.0139780343975000002,0.011407627125,0.171349895803333346,0.159565469740833327
13,0.00296759223166666699,0.0153539975433333326,0.0128641156158333329,0.181955849687500004,0.174004059277499984
14,0.00335213225875000001,0.0151804693200000007,0.0127701019662499991,0.204869813382500016,0.191142695286249997
15,0.00402852063624999958,0.0164127559699999981,0.0141216107750000014,0.212311299954999977,0.205161695872499994
16,0.00460622310874999989,0.0178457717887500027,0.0158268876074999995,0.228322199802500014,0.221465270142500004
17,0.00532073234625000079,0.0191283343262499995,0.0173500950287500018,0.243574902532499998,0.234903066367499996
18,0.00593911870874999984,0.0205608902574999988,0.0190626015862500019,0.257252476127500018,0.252255369993750034
