m,spwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,0.911317285805178012,0.950361796563374162,0.942303554000621824,0.959741567123315265,0.944876665709286745
3,0.863926271408983038,0.918277442859794291,0.911112063228965208,0.921293376444514256,0.915310959683583114
4,0.842564383416514295,0.88562397185669739,0.880542487655242123,0.886917104687003022,0.881882445775323598
5,0.835071732852805115,0.862508976053161902,0.856749409665111261,0.866409656463729361,0.862460899580399509
6,0.832804126266899258,0.854090520106813633,0.850385605866921912,0.859949811547526144,0.858423051577382412
7,0.829904513136574984,0.84171906424360754,0.841458745001809616,0.853363321828752519,0.85103357951795966
8,0.823118924415946029,0.835085135823735891,0.831552809956222383,0.83882779288433984,0.836402170279115675
9,0.819739166419278908,0.823080934153009425,0.822163723699993465,0.827344473487590992,0.827825994307230362
10,0.815574704816271812,0.816868112202724816,0.81795146438886468,0.82962050729422232,0.830931835531710017
11,0.812873314936472191,0.812158025692144458,0.816492048592698971,0.818102044739988599,0.819896930546384017
12,0.816102361230185536,0.806750345491261345,0.811309918500480731,0.816411426802960083,0.814680736379728376
13,0.816705462474667243,0.810489434294995426,0.813870717603354943,0.818649506356260659,0.819384140490972857
14,0.813215764854857248,0.807373271854428198,0.814607086627374688,0.814619967735053963,0.815184170757400128
15,0.814330194487212777,0.801375600032032231,0.804759461607436832,0.81647004040423532,0.817399127456162722
16,0.816682012614350028,0.805366620032471392,0.806007474955547809,0.820241970835896117,0.821031374101694134
17,0.814154595750240739,0.804959138023307208,0.810353240874912117,0.814218465312266715,0.8145277770579612
18,0.805908906931502078,0.806323688170877397,0.802918078633538812,0.8089809963787844,0.810148745394398517
