m,spwinners,gwwinners,gewinners,owwinners,oewinners
2,0.834999999999999964,0.896249999999999991,0.916562499999999947,0.910312499999999858,0.910937499999999956
3,0.752916666666666679,0.840729166666666639,0.852395833333333242,0.841770833333333357,0.841770833333333357
4,0.709895833333333282,0.774218750000000067,0.780156250000000107,0.777031250000000062,0.772760416666666616
5,0.693239583333333353,0.736072916666666521,0.736322916666666605,0.740708333333333413,0.737083333333333313
6,0.687239583333333348,0.72150000000000003,0.720583333333333353,0.727666666666666684,0.726625000000000076
7,0.683270833333333383,0.70254166666666662,0.707025297619047643,0.716580357142857172,0.71456994047619049
8,0.670174107142857078,0.687307291666666709,0.687454613095238032,0.691741071428571441,0.688315476190476283
9,0.664348958333333295,0.672073412698412698,0.672101934523809508,0.676473214285714275,0.676762152777777737
10,0.661468584656084602,0.666860119047619104,0.671090608465608529,0.682143187830687836,0.684079365079365065
11,0.653992243867243861,0.656040704665704744,0.664020232082732087,0.662888918951418993,0.665372715247715241
12,0.661090067340067256,0.65046296296296291,0.657449915824915854,0.662557239057239067,0.66032828282828282
13,0.660933793058793073,0.654391252266252388,0.659743104118104218,0.664749870499870443,0.665750323750323725
14,0.660478576978577037,0.655488712676212781,0.665281107781107828,0.6633124167499167,0.66434929653679653
15,0.660470175657675629,0.645610368797868706,0.653041000666000682,0.663997814685314713,0.66553352897102902
16,0.66216324300699303,0.649594447219447146,0.653161728896103799,0.668932759948384859,0.669551063519813527
17,0.657144419306183947,0.64713777001185091,0.655727473200818811,0.658045757245205865,0.658886312217194625
18,0.648349012201034247,0.636875159358615273,0.647041377127774209,0.652586859423256449,0.653684898638942746
