n,approxwelfare,approxef,gwwelfare,gwef,gewelfare,geef,owwelfare,owef,oewelfare,oeef
2,0.703001746336728,0.1356,1,0,0.600603368165449,0.2872,1,0,0.583839959746683,0.29
3,0.667364760264434,0.148,0.997732599626207,0.0034,0.646145638672555,0.1904,1,0.0014,0.662810276734814,0.183
4,0.572856585807778,0.1844,0.99534092690293,0.0126,0.721317264116021,0.1288,1,0.0116,0.711486417746875,0.1366
5,0.523251004838949,0.2218,0.982024690471663,0.033,0.757237551565039,0.1166,1,0.0208,0.756093649436808,0.1152
6,0.541876456417207,0.2106,0.98436338383622,0.0348,0.793518221251296,0.098,1,0.0308,0.802658418372838,0.092
7,0.541903727172738,0.22,0.974220727268925,0.0584,0.801292315699978,0.0998,1,0.0484,0.803441485036724,0.1016
8,0.561783232269641,0.2068,0.980653781542993,0.0502,0.844112214120903,0.0864,1,0.0448,0.841576408554708,0.0904
9,0.545513852063231,0.226,0.963067594163664,0.0698,0.825789670343158,0.1088,1,0.0584,0.835331192140077,0.1014
10,0.526157702766994,0.2312,0.972110453384161,0.0716,0.833904725264253,0.1078,1,0.0638,0.844718936130926,0.1026
11,0.526763184186443,0.2434,0.969402157178115,0.0736,0.838940891169434,0.1064,1,0.069,0.859816992111548,0.1042
12,0.505630468717849,0.2598,0.968035312815707,0.087,0.828004558496704,0.1224,1,0.0806,0.840579371029531,0.1158
13,0.492525500812506,0.2618,0.959071768093008,0.0902,0.854006123002153,0.1154,1,0.0804,0.857437271983992,0.1092
14,0.518783856920539,0.2532,0.959084050487944,0.0898,0.840852015930806,0.1242,1,0.0846,0.860685523972401,0.114
15,0.494794256141014,0.2614,0.957452042516498,0.099,0.842999140660397,0.123,1,0.0916,0.84914449106641,0.1244
16,0.520700191713385,0.2592,0.95349959420141,0.1014,0.849765391407047,0.1284,1,0.0914,0.876012413879485,0.1228
17,0.562490751303441,0.241,0.956761673201343,0.1144,0.824757535378937,0.1434,1,0.1052,0.845219592713975,0.1382
18,0.541321077178148,0.2594,0.965942770299595,0.1208,0.821410985784835,0.1538,1,0.1088,0.843660027086241,0.1484
19,0.480148481969492,0.2774,0.957255878054713,0.1126,0.83671953984928,0.1372,1,0.1022,0.854968392544102,0.1316
20,0.47572285341808,0.2788,0.953583120215866,0.111,0.826855877506531,0.1448,1,0.1038,0.868424987981149,0.1288
