n,m,approxwelfare,approxef
50,2,1,0
50,3,0.974310669159616,0.0366666666666667
50,4,0.955273366819773,0.065
50,5,0.924729105310239,0.096
50,6,0.909231733249055,0.14
50,7,0.920350933149353,0.145714285714286
50,8,0.892596451989441,0.1475
50,9,0.86462760364144,0.171111111111111
50,10,0.866809453146232,0.189
50,11,0.845740550424599,0.193636363636364
50,12,0.804363415725518,0.203333333333333
50,13,0.8171834525697,0.225384615384615
50,14,0.786283406131229,0.232857142857143
50,15,0.785939701541568,0.227333333333333
50,16,0.744332830430607,0.245625
50,17,0.70956934752782,0.245882352941176
50,18,0.772670339997313,0.23
50,19,0.723734723419419,0.249473684210526
50,20,0.704532545244094,0.2525
50,21,0.685240910150034,0.265238095238095
50,22,0.679441378610637,0.268636363636364
50,23,0.701088450325524,0.253478260869565
50,24,0.676224972431738,0.270833333333333
50,25,0.613663806240691,0.2816
50,26,0.669359036194946,0.256923076923077
50,27,0.620191462213519,0.283703703703704
50,28,0.597306327776597,0.285714285714286
50,29,0.642533592384369,0.267931034482759
50,30,0.616010621840622,0.279
50,31,0.604944131128609,0.285161290322581
50,32,0.595136789119269,0.28875
50,33,0.574782971100144,0.296060606060606
50,34,0.544509033442783,0.292352941176471
50,35,0.653890157979332,0.274285714285714
50,36,0.583653897460392,0.288055555555556
50,37,0.549251129021689,0.292972972972973
50,38,0.578949417489553,0.289736842105263
50,39,0.558324419491011,0.293333333333333
50,40,0.56529169211843,0.2905
50,41,0.559801849513252,0.294634146341463
50,42,0.509907914839006,0.312619047619048
50,43,0.507891607986928,0.301860465116279
50,44,0.492504293402996,0.308636363636364
50,45,0.519724373170149,0.308666666666667
50,46,0.495168195336313,0.310869565217391
50,47,0.497480390025722,0.303829787234043
50,48,0.546475837054162,0.284375
50,49,0.522564298831261,0.302040816326531
50,50,0.520644388559418,0.298
