n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,2,0.25,1,0.99372172270218,0.00784399999999946,0.33128749,0,0,0.984241346332261,3.3679626,6.44455949,0.00999999999999999,0.06,0.977963069034441,3.3385613,0.43909997,0,0.05,0.977963069034441,3.3385621,0.51628083,0.01,0.05,0.974571085949393,3.3359255,0.43198937,0,0.07
2,2,0.25,2,1,0,0.0744442399999999,0,0,1,0.5434572,0.62313221,0,0,1,0.5434572,0.06878654,0,0,1,0.5434572,0.06942216,0,0,1,0.5434572,0.0696047,0,0
2,2,0.25,3,1,0,0.0732175300000001,0,0,1,0.2987179,0.33092606,0,0,1,0.2987179,0.04187153,0,0,1,0.2987179,0.12031277,0,0,1,0.2987179,0.11435987,0,0
2,2,0.25,4,1,0,0.0717515799999999,0,0,1,0.4744658,0.46481985,0,0,1,0.4744658,0.05596008,0,0,1,0.4744658,0.12726946,0,0,1,0.4744658,0.13930145,0,0
2,2,0.5,1,1,0.229683999999979,0.702076580000001,0,0,0.979248824388791,5.5691521,12.84659607,0,0.06,0.979248824388791,5.5691514,1.20125331,0,0.08,0.975858132226495,5.5508235,0.89308919,0,0.05,0.979248824388791,5.5691521,0.91172348,0,0.1
2,2,0.5,2,1,0,0.07991111,0,0,1,1.9106592,2.97159076,0,0.03,1,1.9106593,0.29031295,0,0.05,1,1.9106592,0.29362863,0,0.02,1,1.9106593,0.66369227,0,0.06
2,2,0.5,3,1,0,0.0797179699999999,0,0,1,1.1861039,1.61067708,0,0,1,1.1861035,0.17533212,0,0.01,1,1.1861039,0.17624195,0,0,1,1.1861035,0.37799148,0,0.01
2,2,0.5,4,1,0,0.0775720999999999,0,0,1,0.5409083,0.86426043,0,0.01,1,0.5409083,0.08342409,0,0.01,1,0.5409083,0.15040266,0,0.01,1,0.5409083,0.14534512,0,0.01
2,2,0.75,1,0.990994467230792,0.12623999999999,0.74861447,0,0,0.933711951066049,8.113117,26.89109412,0.04,0.24,0.924706418296841,8.0623948,1.48361067,0,0.2,0.925833347883601,8.0673478,1.63580513,0.00999999999999999,0.15,0.914725774902324,8.0109334,1.38109464,0.00999999999999999,0.27
2,2,0.75,2,1,0.130399999999993,0.65800626,0,0,1,3.8535131,7.44787143,0,0.05,1,3.8535123,0.63129985,0,0.1,1,3.853513,0.98805831,0,0.02,1,3.8535124,0.88779331,0,0.13
