n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,2,0.25,1,1,1.85957800000012,1.51381784,0,0,0.998302539346172,28.3371143,2.00862802,0,0.02,0.998302539346172,28.3371144,0.38218119,0,0.01,0.998302539346172,28.3371144,0.62283881,0,0.01,0.988893856708112,27.1471883,0.36593304,0,0.04
2,2,0.25,2,1,0,0.06612161,0,0,0.993214651897547,37.7322118,2.70342319,0,0.07,0.993214651897547,37.7322114,0.46927905,0,0.06,0.993214651897547,37.7120391,0.7166654,0,0.03,0.993214651897547,37.5274931,1.14425569,0,0.12
2,2,0.25,3,1,0,0.0666205,0,0,0.986989507881808,40.8487425,2.88182253,0,0.1,0.986989507881808,40.8487419,0.57406142,0,0.08,0.986989507881808,40.8358875,0.50692962,0,0.09,0.985153226720918,40.6527645,0.44983709,0,0.11
2,2,0.25,4,1,9.99999999999999e-06,0.0701136199999999,0,0,0.987515552531109,47.9232203,3.20410353,0,0.11,0.989509218857534,48.0867836,0.62516017,0,0.13,0.989212090344869,48.0664986,0.56429004,0,0.09,0.987515552531109,47.7304943,0.80420362,0,0.15
2,2,0.5,1,0.988472813639803,4.77740799999726,3.41957261,0,0,0.982907308953467,58.1643272,6.1252006,0.04,0.08,0.97138012259327,57.4050484,0.92928547,0,0.09,0.969122190247749,57.2070121,1.21509939,0,0.06,0.921160677693539,54.5697399,0.79547875,0,0.23
2,2,0.5,2,1,3.9e-05,0.07279977,0,0,0.95601046845493,66.4299532,4.54547505,0,0.36,0.964837438210149,68.853087,0.93484762,0,0.22,0.960147209293584,67.5447671,0.93943167,0,0.19,0.958352213343515,67.4394113,0.95273693,0,0.48
2,2,0.5,3,1,8.00000000000001e-06,0.07289206,0,0,0.981146949370486,56.4638169,3.29128669,0,0.27,0.986002578543806,57.5516552,0.93805905,0,0.19,0.97772017943734,55.6635838,0.69714064,0,0.24,0.980049930191903,56.4408418,0.64624686,0,0.31
2,2,0.5,4,1,4e-06,0.07181486,0,0,0.948483557440572,65.3507228,3.86812256,0,0.43,0.964585403712866,67.9120721,0.95297508,0,0.34,0.948882403718951,65.633624,0.84780902,0,0.37,0.960929391067854,65.4612197,1.31437687,0,0.48
2,2,0.75,1,1,1.16067899999933,1.09145031,0,0,0.940329308333503,75.5451214,8.83431091,0,0.19,0.940329308333503,75.545121,1.13202658,0,0.21,0.940329308333503,75.254215,1.4560625,0,0.09,0.902957746947762,72.4520256,1.23994207,0,0.36
2,2,0.75,2,1,0.000142,0.08353084,0,0,0.950896616220923,81.4855487,7.53613211,0,0.45,0.938016797781857,86.3888906,0.97174059,0,0.48,0.925700949384433,83.7053469,1.25972627,0,0.36,0.933727233675196,84.2769159,0.98421556,0,0.66
