n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,2,0.25,1,1,0.509611626222801,0.41217027,0,0,0.992626830181603,0.989455143920005,7.66500072,0,0.02,0.992626830181603,0.989455146852896,0.68821755,0,0.02,0.992626830181603,0.989455137656288,0.80461601,0,0.015,0.992626830181603,0.989455153116614,0.98864751,0,0.025
2,2,0.25,2,1,0.330005611674209,0.0998399000000001,0,0,0.990197006749284,0.978335346380493,7.68163862,0,0.03,0.990197006749284,0.981358712737196,1.07980803,0,0.035,0.988680346273237,0.977898365456087,0.68690681,0,0.03,0.990197006749284,0.978335346380493,0.63318211,0,0.055
2,2,0.25,3,1,0.35,0.07943939,0,0,0.974606728097579,0.958861708723499,6.724756,0,0.1,0.980789679952664,0.961322926077328,0.955004790000001,0,0.07,0.980789679952664,0.95336462383295,0.9249538,0,0.075,0.978343972994527,0.958073713761186,1.08251469,0,0.1
2,2,0.25,4,1,0.36,0.0829066500000001,0,0,0.985164032833684,0.980649812857687,6.68938756,0,0.075,0.99303971272176,0.979109489086392,1.2513757,0,0.055,0.985756912546666,0.971826690691595,0.8373339,0,0.065,0.98924852363265,0.976788125609451,0.70664057,0,0.065
2,2,0.5,1,0.997764883887567,0.200911641400855,0.43602734,0,0,0.985267428709141,0.95683937942601,17.73850284,0.01,0.025,0.983032312596708,0.955312479411199,1.39686065,0,0.035,0.97878013098095,0.951060286693908,1.4064794,0,0.015,0.948145505810453,0.929636798738055,1.04857747,0,0.095
2,2,0.5,2,1,0.0700167343955229,0.08834864,0,0,0.963760848160837,0.933297261264984,14.67876778,0,0.155,0.961261580800304,0.94061410903273,1.24557381,0,0.135,0.95729155025269,0.930518748251691,1.37731928,0,0.095,0.950004671888579,0.918606628136824,1.04111132,0,0.235
2,2,0.5,3,1,0.0700018755327745,0.08667321,0,0,0.97023331677442,0.921842655808843,12.66584004,0,0.14,0.977307282560428,0.935006766677452,1.21762663,0,0.12,0.977307282560428,0.929840685802685,1.29715375,0,0.095,0.97023331677442,0.918771176062314,1.3117609,0,0.205
2,2,0.5,4,1,0.07,0.08636748,0,0,0.96914390053687,0.932083535449744,12.79969947,0,0.17,0.978841654146218,0.948410751348633,1.47867539,0,0.095,0.975202525907001,0.934800195320955,1.33151487,0,0.115,0.970757814836743,0.926200517157381,1.32274412,0,0.195
2,2,0.75,1,0.992492626909479,0.0396539589077358,0.43274165,0,0,0.935476019436601,0.893570899810338,28.46927943,0.005,0.12,0.930914279724597,0.886624581564612,1.78836561,0,0.115,0.926803170286728,0.882449650559317,1.92911252,0,0.065,0.90539320171859,0.874012196756844,1.49028627,0,0.185
2,2,0.75,2,1,5.39198726609062e-05,0.0970451500000001,0,0,0.932824345383487,0.820838785665385,24.19564705,0,0.26,0.938016074676572,0.881778955260002,1.73645282,0,0.205,0.924603035285076,0.864279345397178,1.7124202,0,0.18,0.919457016570053,0.856591539498172,1.4544694,0,0.385
