m,p,greedywelfare,greedyrevenue,greedyef,greedywe,greedytime,optimawelfare,optimarevenue,optimaef,optimawe,optimatime
1,0.25,1,1,0,0.00108370059359208,0.0553727,1,1,0,0.00666330955257895,0.03976689
1,0.5,1,1,0,0.0040353534382029,0.01875741,1,1,0,0.0172035360970773,0.02062316
1,0.75,1,1,0,0.0115857795479244,0.01421965,1,1,0,0.0349290235596329,0.01295784
1,1,1,1,0,0.0266563044544629,0.01466663,1,1,0,0.0615739862217213,0.01333491
2,0.25,0.997263813452793,0.997263813452793,0,0.01517982702289,0.57033005,0.997263813452793,0.997263813452793,0,0.0324569645172989,1.29688555
2,0.5,1,1,0,0.0120835496130072,1.31310284,1,1,0,0.0386852181317177,2.92260441
2,0.75,1,0.991973989238712,0.01,0.0186519929603969,1.25238913,1,0.991973989238712,0.005,0.0593348018984379,3.07626455
2,1,0.991475014660968,0.989714940227523,0,0.0913690836076733,1.59391526,0.991475014660968,0.989714940227523,0,0.1582600240497,3.3057681
3,0.25,1,1,0,0.00511762067795026,0.97935314,1,1,0,0.0267407574824309,2.6856196
3,0.5,1,0.999164005377391,0.00666666666666667,0.0156910570863802,1.6001245,1,0.999164005377391,0.00666666666666667,0.0556911534792111,3.97664032
3,0.75,0.994338753961571,0.983725509627947,0.00333333333333334,0.0627436033852561,2.78242637,0.99211024957359,0.984982572751998,0.00333333333333334,0.142877953594928,6.4816652
3,1,0.983813043884298,0.974547444288862,0.0133333333333333,0.159936027656689,2.82051839,0.989480584888741,0.979677887122099,0.0166666666666667,0.25749367217995,8.79211269
4,0.25,1,1,0,0.00860919688101868,1.32905645,1,1,0,0.0408705675353887,3.81933653
4,0.5,1,0.996457835747355,0.0025,0.0185983873271816,1.92557232,1,0.996457835747355,0.0025,0.0599272099072632,5.29709846
4,0.75,0.99444388975022,0.986696555192033,0.0125,0.104028972393647,4.5220284,0.994266746360533,0.986854841069937,0.015,0.186752934889923,13.46047651
4,1,0.988505892632452,0.963333822451246,0.0175,0.160794715656952,6.04131706,0.992400296526564,0.971027268395172,0.0275,0.286831167333213,15.68269501
5,0.25,1,0.99768409615342,0.004,0.0105507067248778,1.02010279,1,0.99768409615342,0.006,0.0463407321532742,3.4221286
5,0.5,0.997454370843097,0.997454370843097,0.014,0.0304005122756821,2.80570685,0.999740814767035,0.999740814767035,0.016,0.0899304560866822,9.11498052
5,0.75,0.99243906893558,0.984164882288701,0.01,0.0920187465295701,41.43938786,0.995447532368679,0.987173345721799,0.016,0.195843108234858,56.45836214
5,1,0.983410877275986,0.95507652369947,0.02,0.218586729649811,14.38465485,0.985382384596846,0.958279778853605,0.024,0.341816013481093,32.66175884
6,0.25,1,0.998824958005164,0.00166666666666667,0.0132224722463368,2.87842024,1,0.998824958005164,0.00166666666666667,0.05124774694656,7.39777455
6,0.5,0.995761356402891,0.991751837477336,0.00833333333333333,0.056917973053739,53.41650026,0.995761356402891,0.991751837477336,0.00666666666666667,0.121072756442415,14.44326441
6,0.75,0.991956518467324,0.967511393990088,0.0166666666666667,0.154411506819886,6.6342412,0.995881480722185,0.966130016646922,0.025,0.244282781361897,53.11631405
6,1,0.973806640527341,0.928278564454148,0.0233333333333333,0.283688122948889,14.79608661,0.971663104216423,0.922823372691616,0.0216666666666667,0.414167304597537,52.36121628
7,0.25,0.994131014918588,0.992577719470133,0.00571428571428571,0.041718782101543,28.33116495,0.994131014918588,0.992577719470133,0.00571428571428571,0.0949083270302034,17.14919223
7,0.5,0.994195091528769,0.990416613218376,0.0185714285714286,0.0578579175110938,73.31279775,0.997531436484739,0.991471081535282,0.0214285714285714,0.125311601726765,48.56500978
7,0.75,0.988162941038606,0.968616295449055,0.02,0.172358858583684,26.6874912,0.98785218153228,0.967967776124173,0.0257142857142857,0.294990970178991,159.85364739
7,1,0.984911460784005,0.948505208189262,0.0228571428571429,0.290196855117316,42.47071837,0.988904644132663,0.944575248542764,0.0214285714285714,0.429377345029593,162.53423627
8,0.25,0.999708407331233,0.999692519870789,0.00625,0.0236943767273122,5.14206902,0.999708407331233,0.999692519870789,0.005,0.0857632375144491,25.86146647
8,0.5,0.994847971654711,0.988455111280489,0.0175,0.0565125850600009,13.68344652,0.99779379274626,0.991400932372039,0.01875,0.144131974297337,50.81925065
8,0.75,0.992935591163614,0.962558263101158,0.02,0.134942756603422,24.07259881,0.995290448054291,0.966703761847128,0.0275,0.272204472167081,139.13458571
