n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
2,2,0.25,1,2.65840000000019,0.47495503,0,0,0.997963512489535,47.7657779,0.11147988,0,0.57,1,45.7373101,0.04762175,0,0
2,2,0.5,1,11.9967,1.38658463,0,0,0.999738290196788,80.2937669,0.18048782,0,0.55,1,71.22897,0.02627956,0,0
2,2,0.75,1,11.1944000000001,1.23369316,0,0,0.992760212521403,98.4805972,0.16424423,0,0.4,1,91.8862675,0.05315563,0,0
2,2,1,1,11.1061000000002,1.41878868,0,0,0.979934231068056,108.820074,0.18706647,0,0.17,1,105.0244982,0.02480865,0,0
2,3,0.25,1,5.49900000000015,0.70337684,0,0,0.996811661602492,63.0697544,0.1336119,0,0.65,1,59.0058643,0.04668646,0,0
2,3,0.5,1,28.6580999999999,2.75352597,0,0,0.991508341206131,101.8123211,0.1671178,0,0.36,1,97.7307368,0.04753796,0,0
2,3,0.75,1,51.7936999999997,3.88158879,0,0,0.979895834969805,118.785155,0.17466819,0,0.18,1,115.8206572,0.04832719,0,0
2,3,1,1,78.6351000000004,5.72941594,0,0,1,138.8083079,0.22504317,0,0,1,138.8083079,0.02077779,0,0
2,4,0.25,1,16.5040000000002,1.80308986,0,0,0.995590175404001,81.1110754,0.17898181,0,0.56,1,78.5570863,0.02409263,0,0
2,4,0.5,1,41.7634000000003,3.42328923,0,0,0.990290649564944,114.0882118,0.20532141,0,0.25,1,111.3335617,0.02460536,0,0
2,4,0.75,1,82.5629000000011,8.79643184,0,0,0.995592166179334,138.7163428,0.23671019,0,0.0900000000000001,1,138.5847772,0.02168507,0,0
2,4,1,1,113.273200000001,11.0598706,0,0,0.997335138719758,155.3824964,0.23792486,0,0.01,1,155.2746762,0.02516067,0,0
2,5,0.25,1,25.2800000000004,2.94173439,0,0,0.995607816068471,90.0102615,0.1775647,0,0.38,1,89.4117328,0.02398651,0,0
2,5,0.5,1,66.3165000000002,8.16315388,0,0,0.992183727839782,134.339126,0.23127487,0,0.1,1,132.5906171,0.02699135,0,0
2,5,0.75,1,97.5557000000009,8.86041011,0,0,0.996578198152813,147.8935519,0.24600828,0,0.03,1,147.5176355,0.02056965,0,0
2,5,1,1,130.010100000003,11.94495183,0,0,1,166.8629554,0.24922882,0,0,1,166.8629554,0.02533459,0,0
2,6,0.25,1,32.1545000000002,4.13939061,0,0,0.996336148694352,99.1562434,0.17871714,0,0.44,1,94.7665618,0.04676817,0,0
2,6,0.5,1,90.4546000000007,9.48721404,0,0,0.99614939961606,146.4258557,0.2086902,0,0.07,1,145.8499931,0.04830344,0,0
2,6,0.75,1,119.920600000002,12.15869391,0,0,0.997690551780016,163.7083952,0.2558418,0,0.01,1,163.5950952,0.02485822,0,0
2,6,1,1,141.135000000003,14.74912047,0,0,1,171.4377496,0.27490001,0,0,1,171.4377496,0.02089366,0,0
