n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2,lpefficiency,lprevenue,lptime,lpwe1,lpwe2
2,2,0.25,1,1.4631,0.4533249,0,0,0.997764508735128,42.6569408,0.16200595,0,0.55,1,36.079344,0.02989304,0,0,0.997764508735128,42.6569408,5.34507020000001,0,0.55
2,2,0.5,1,3.46710000000002,0.60146568,0,0,0.981263034007127,74.1024484,0.13759247,0,0.55,1,62.2591794,0.02128918,0,0,0.981263034007127,74.1024484,4.54318307000001,0,0.55
2,2,0.75,1,1.56050000000004,0.43127238,0,0,0.951355713383364,84.3384694,0.17679187,0,0.46,1,69.4696823,0.02170848,0,0,0.951355713383364,84.3384694,5.28858503,0,0.46
2,2,1,1,0.01,0.0614672,0,0,0.880507503832781,84.7796681,0.16381515,0,0.58,1,65.3080652,0.02298032,0,0,0.880507503832781,84.7796681,5.53239091,0,0.58
2,3,0.25,1,8.64709999999999,0.85458722,0,0,0.989884697322396,62.1356486,0.15359343,0,0.54,1,58.1565561,0.04344104,0,0,0.989884697322396,62.1356486,4.40310897,0,0.54
2,3,0.5,1,18.3496999999999,1.38329375,0,0,0.976756976614889,90.7749124,0.14922528,0,0.37,1,86.0112794,0.04968014,0,0,0.976756976614889,90.7749124,5.44757697,0,0.37
2,3,0.75,1,40.6413000000003,2.5508763,0,0,0.956368769502065,113.0844056,0.15548453,0,0.21,1,107.7152817,0.02054272,0,0,0.956368769502065,113.0844056,5.41792891,0,0.21
2,3,1,1,50.8407000000003,3.16502196,0,0,0.948709979233094,104.416831,0.15563575,0,0.22,1,98.4899804,0.02171821,0,0,0.948709979233094,104.416831,5.71748979,0,0.22
2,4,0.25,1,18.7075,1.62012554,0,0,0.994024778045648,73.6210786,0.15980023,0,0.51,1,71.8384064,0.02523718,0,0,0.994024778045648,73.6210786,4.44446788,0,0.51
2,4,0.5,1,38.7708000000002,3.16691358,0,0,0.984130625282535,103.3984925,0.15540336,0,0.23,1,100.7471822,0.02206246,0,0,0.984130625282535,103.3984925,5.3513701,0,0.23
2,4,0.75,1,67.3503999999999,5.16350709,0,0,0.970007950116907,119.7701146,0.15643929,0,0.11,1,117.7719485,0.02106743,0,0,0.970007950116907,119.7701146,5.7745045,0,0.11
2,4,1,1,74.5015999999997,5.48060605,0,0,0.974363204666747,123.3190525,0.15953713,0,0.09,1,121.8626198,0.02099206,0,0,0.974363204666747,123.3190525,5.92199061,0,0.09
2,5,0.25,1,22.1819000000001,2.47198712,0,0,0.991626341636861,83.0252203,0.14625367,0,0.5,1,80.9210598,0.02372644,0,0,0.991626341636861,83.0252203,4.55012806,0,0.5
2,5,0.5,1,53.8510000000003,4.28430375,0,0,0.987566381711042,114.3266718,0.1834646,0,0.14,1,111.5369984,0.02191957,0,0,0.987566381711042,114.3266718,5.36919772,0,0.14
2,5,0.75,1,90.9136999999999,7.42247699,0,0,0.985723719563303,133.7973603,0.16416408,0,0.05,1,133.2065735,0.02145559,0,0,0.985723719563303,133.7973603,5.61503071,0,0.05
2,5,1,0.99999995652436,97.0007999999995,7.64074596,0,0,0.979329970099871,130.7818913,0.16035698,0,0.07,1,129.9347048,0.01958422,0,0,0.979329970099871,130.7818913,5.88507071,0,0.07
2,6,0.25,1,40.5612000000003,3.80419312,0,0,0.993504126080475,102.2308434,0.15720366,0,0.33,1,101.1496512,0.02274177,0,0,0.993504126080475,102.2308434,5.22270473,0,0.33
2,6,0.5,1,74.5465999999994,6.74912477,0,0,0.988984714091209,126.5690975,0.15824779,0,0.08,1,125.8294689,0.02010157,0,0,0.988984714091209,126.5690975,5.57024473,0,0.08
2,6,0.75,1,106.4526,9.39452178,0,0,0.988095684447162,141.504286,0.17008355,0,0.04,1,140.9515618,0.021357,0,0,0.988095684447162,141.504286,5.41542481,0,0.04
2,6,1,1,101.627499999999,9.29179786,0,0,0.993492318694629,132.6080607,0.16728038,0,0.02,1,132.5556956,0.02002891,0,0,0.993492318694629,132.6080607,5.73445451,0,0.02
2,7,0.25,1,42.7208000000005,4.04074449,0,0,0.989656922377152,105.1811193,0.15156228,0,0.29,1,103.1522805,0.02242733,0,0,0.989656922377152,105.1811193,5.29431983,0,0.29
2,7,0.5,1,87.2482999999999,8.79558013,0,0,0.988412070985695,136.8809926,0.18056389,0,0.05,1,136.2782332,0.02109361,0,0,0.988412070985695,136.8809926,5.63038285,0,0.05
2,7,0.75,1,114.610700000001,11.01279287,0,0,0.996969577918461,149.4735752,0.17918072,0,0.01,1,149.3463715,0.02001599,0,0,0.996969577918461,149.4735752,5.63793689000001,0,0.01
