n,m,p,b,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,lpoptefficiency,lpoptrevenue,lpopttime,lpoptwe1,lpoptwe2,lpwfefficiency,lpwfrevenue,lpwftime,lpwfwe1,lpwfwe2,lpg1efficiency,lpg1revenue,lpg1time,lpg1we1,lpg1we2,lpg2efficiency,lpg2revenue,lpg2time,lpg2we1,lpg2we2
2,2,0.25,1,0.996660870824314,0.527380501970528,0.14835358,0,0,0.982404228391866,0.976812169929213,10.12399885,0.01,0.025,0.979065099216179,0.973472803507689,0.59462223,0,0.03,0.979065099216179,0.973472803507689,0.65379877,0,0.025,0.979065099216179,0.973472981733071,0.79016977,0,0.03
2,2,0.25,2,1,0.96,0.07509031,0,0,1,0.999999743919036,0.31426371,0,0,1,0.999999743919036,0.30695767,0,0,1,0.999999743919036,0.03436983,0,0,1,0.999999743919036,0.03394243,0,0
2,2,0.25,3,1,0.92,0.0721728499999999,0,0,1,1.00000030184063,0.67817999,0,0,1,1.00000030184063,0.07892646,0,0,1,1.00000030184063,0.07355361,0,0,1,1.00000030184063,0.19067998,0,0
2,2,0.25,4,1,0.96,0.0755922600000001,0,0,1,0.999999980574383,0.32557684,0,0,1,0.999999980574383,0.04306304,0,0,1,0.999999980574383,0.04042702,0,0,1,0.999999980574383,0.03966997,0,0
2,2,0.5,1,0.996713503721437,0.208752372468473,0.20065622,0,0,0.980921472757904,0.938481621197448,23.60896289,0.005,0.04,0.977634976479341,0.935193661044173,1.18849062,0,0.04,0.977634976479341,0.935193674840497,1.5641335,0,0.04,0.960594961126173,0.920062649552633,1.2409911,0,0.055
2,2,0.5,2,1,0.642686970565737,0.08330321,0,0,1,0.999999302560236,4.33784776,0,0.005,1,0.999999425177128,0.41220261,0,0.005,1,0.999999373981466,0.34154301,0,0,1,0.999999353755899,0.30379893,0,0.01
2,2,0.5,3,1,0.83,0.07840693,0,0,1,1.00000009801041,1.87218569,0,0.01,1,1.0000001522499,0.47205202,0,0.005,1,1.00000009801041,0.2353457,0,0.005,1,1.0000001522499,0.20474864,0,0.01
2,2,0.5,4,1,0.88,0.0778888000000001,0,0,1,0.999999911868196,0.99124239,0,0,1,0.999999911868196,0.11308216,0,0.005,1,0.999999911868196,0.11496994,0,0,1,0.999999911868196,0.10114577,0,0.005
2,2,0.75,1,0.991278761443816,0.0435853704452991,0.1860885,0,0,0.954833891505134,0.886274874864703,38.6724726,0.015,0.09,0.946112652948949,0.877553199534249,1.63857269,0,0.07,0.946112652948949,0.877553397350732,1.72180183,0,0.065,0.928349945204815,0.867377584307297,2.32117315,0,0.115
2,2,0.75,2,1,0.422272491032603,0.09133902,0,0,1,1.00000065166234,7.38365474,0,0.025,1,1.00000021748227,0.73149012,0,0.03,1,1.00000018581861,0.77472655,0,0.015,1,1.000000683326,0.70956726,0,0.04
2,2,0.75,3,1,0.74,0.0855812800000001,0,0,1,0.999999368077438,2.42287843,0,0.02,1,0.999999634638459,0.24136874,0,0.02,1,0.999999622672868,0.55744565,0,0.01,1,0.99999938004303,0.2903693,0,0.03
2,2,0.75,4,1,0.79,0.078482,0,0,1,1.00000060582154,2.3545938,0,0.01,1,1.00000039021504,0.31799067,0,0.005,1,1.00000046046277,0.24797833,0,0,1,1.00000053557381,0.62941493,0,0.015
2,2,1,1,1,0.00404172513041825,0.10083853,0,0,0.898642658501,0.774417805944998,36.6605896,0,0.165,0.898642658501,0.774417805944998,1.85756412,0,0.12,0.898642658501,0.774417805944998,2.06515658,0,0.09,0.898642658501,0.774417805944998,2.40284722,0,0.175
2,2,1,2,1,0.0463782329143678,0.19161636,0,0,1,1.00000122809433,12.52847087,0,0.185,1,1.00000132050781,1.45279969,0,0.13,1,1.00000141886552,1.27671563,0,0.07,1,1.00000112973662,0.9660511,0,0.245
2,2,1,3,1,0.51,0.0853614499999999,0,0,1,0.999999775749717,6.1163165,0,0.07,1,0.999999417075511,0.66790602,0,0.06,1,0.999998778091654,0.64549612,0,0.035,1,1.00000041473357,1.40878657,0,0.095
2,2,1,4,1,0.76,0.08550846,0,0,1,0.999999733372662,3.60326356,0,0.03,1,0.999999616711223,0.42925871,0,0.04,1,0.999999859355956,0.40551943,0,0.01,1,0.999999490727928,0.77764231,0,0.06
2,3,0.25,1,0.994918018412299,0.430044231809442,0.276956,0,0,0.974863680836503,0.953396864298098,13.94816659,0.00666666666666667,0.04,0.973074389022753,0.954117837097144,1.09589702,0,0.035,0.973074389022753,0.93878525431396,0.7732694,0,0.035,0.967360725471764,0.949240799851295,0.76552376,0,0.05
2,3,0.25,2,0.998905427757209,0.742824792746942,0.20373181,0,0,0.993759684700426,0.989663359802573,3.26373743,0,0.015,0.993759684700426,0.989663293264544,0.2647454,0,0.015,0.993759684700426,0.989663293264544,0.58049114,0,0.015,0.993759684700426,0.989663359802573,0.25861077,0,0.015
2,3,0.25,3,1,0.93,0.08445161,0,0,1,0.999999958881144,0.78382741,0,0,1,0.999999994971825,0.06694038,0,0.005,1,0.999999958881144,0.06160188,0,0,1,0.999999994971825,0.05569518,0,0.005
2,3,0.25,4,1,0.89,0.08138318,0,0,1,0.996266671038523,0.95274727,0,0,1,0.996266671038523,0.18797007,0,0,1,0.996266671038523,0.08939809,0,0,1,0.996266671038523,0.0978412,0,0
2,3,0.5,1,0.959469898961631,0.129059142500175,0.42368592,0,0,0.904438907348339,0.816476333973162,44.53970571,0.00333333333333333,0.11,0.897039036868398,0.815482180597855,2.14655278,0,0.06,0.885684584197956,0.789170457281817,1.91039942,0.00666666666666667,0.08,0.877570363610036,0.801019061179357,1.86463637,0,0.155
2,3,0.5,2,0.99302661560926,0.36342277054249,0.36928296,0,0.01,0.983437485336375,0.974976190831078,10.26232065,0.01,0.06,0.980018945707704,0.972065423181058,1.35957423,0,0.045,0.978051630099553,0.970098243210756,0.83281513,0,0.03,0.978680600509053,0.970219144847712,0.73622248,0,0.08
