n,m,p,ckefficiency,ckrevenue,cktime,ckwe1,ckwe2,evpefficiency,evprevenue,evptime,evpwe1,evpwe2,mweqefficiency,mweqrevenue,mweqtime,mweqwe1,mweqwe2
2,2,0.25,1,0.391980748553267,0.48648094,0,0,1,0.997705258566739,0.15007892,0,0.265,1,0.964384456946444,0.02567503,0,0
2,2,0.5,1,0.140709382069344,0.84643613,0,0,0.994435145705913,0.981501171719998,0.13452949,0,0.3,1,0.887102488841675,0.0514712,0,0
2,2,0.75,1,0.122029924084784,0.950085299999999,0,0,0.982155728536467,0.959713660555805,0.14705958,0,0.15,1,0.900494905635872,0.02020552,0,0
2,2,1,1,0.0844586261476203,0.89065664,0,0,0.97741784423626,0.938427524287348,0.15448238,0,0.075,1,0.900185788009986,0.02157052,0,0
2,3,0.25,1,0.290054059871397,0.65910105,0,0,0.995710589011741,0.993514742310731,0.14111223,0,0.305,1,0.951321071801847,0.02410565,0,0
2,3,0.5,1,0.283890386453193,2.00976824,0,0,0.993773323036979,0.979056760430456,0.15416062,0,0.17,1,0.944617256812539,0.02030777,0,0
2,3,0.75,1,0.352909173601831,2.97877206,0,0,0.977565405916003,0.951229496937,0.15272093,0,0.08,1,0.916441362503569,0.01847825,0,0
2,3,1,1,0.560610676356024,3.66386664,0,0,0.993618028398843,0.963179782373641,0.15268204,0,0.02,1,0.957141813535086,0.01773011,0,0
2,4,0.25,1,0.27997588583956,1.61105547,0,0,0.998593139109316,0.996242900333305,0.11664026,0,0.285,1,0.970233913968611,0.03691847,0,0
2,4,0.5,1,0.411992483524052,3.22231552,0,0,0.993368624301645,0.978476591481844,0.15153749,0,0.085,1,0.946028664364936,0.01877967,0,0
2,4,0.75,1,0.577177771782016,5.28302976,0,0,0.997533575468704,0.981708199033408,0.17382256,0,0.03,1,0.97674311068555,0.01894401,0,0
2,4,1,1,0.694616744711411,6.08702,0,0,1,0.985206463675113,0.15502967,0,0,1,0.985206463675113,0.01821339,0,0
2,5,0.25,1,0.285481387149201,2.10389798,0,0,0.996505939191698,0.989413406970118,0.16225903,0,0.22,1,0.944010526836909,0.02159083,0,0
2,5,0.5,1,0.469230959762402,4.33881491,0,0,0.991625256265723,0.974130328589051,0.15478821,0,0.05,1,0.941535195469777,0.01885717,0,0
2,5,0.75,1,0.641183342838594,5.61701165,0,0,0.996991197399599,0.986872025936891,0.18788655,0,0.015,1,0.982180787264904,0.01888638,0,0
2,5,1,1,0.759656060610454,7.42106975,0,0,0.997666899152287,0.990118051877175,0.17009686,0,0.005,1,0.9887995314702,0.01850043,0,0
2,6,0.25,1,0.315305734369917,2.21243772,0,0,0.996830096001119,0.990412486632281,0.14614408,0,0.19,1,0.946947464083433,0.02137595,0,0
2,6,0.5,1,0.607214381980908,5.98728834,0,0,1,0.988740547304137,0.15754363,0,0.015,1,0.987837461768428,0.01898195,0,0
2,6,0.75,1,0.715520847994319,7.44457884,0,0,1,0.993234818574996,0.15746282,0,0,1,0.993234818574996,0.01800812,0,0
2,6,1,1,0.817208745868086,9.49263971,0,0,1,0.990309998357679,0.16522811,0,0,1,0.990309998357679,0.01845618,0,0
2,7,0.25,1,0.317340309140414,4.16723608,0,0,0.998243992979324,0.993567035690463,0.18165343,0,0.105,1,0.981528284936712,0.02341461,0,0
2,7,0.5,1,0.65770576615242,6.67559597,0,0,0.996130647572061,0.989332270523365,0.1434527,0,0.02,1,0.982658691521723,0.03368377,0,0
